Table 2:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,  Change %  2024/2022,  Change %  2024/2023,Percentage to Total
Dried Fish ,10406.204,8445.27896,10520.5922,10214.44698,9506.31819,10253.71181,11643.30776,7513.87035,6198.188749999999,6777.05515,7828.6461100000015,26.305384133389005,15.516930830937703,13.41639865318182
Dried Sprats,24873.618,24607.422700000003,24456.9713,22797.82765,23197.825800000002,24805.64512,31102.3052,25071.350500000004,23723.869,22759.015,27362.816,15.33875861479424,20.2284721021538,46.8932229879097
Maldive fish,1255.6349999999998,2216.39342,2731.68475,2674.2638899999997,2317.74345,2520.9943,2545.2419,2187.5960099999998,1537.6745400000002,1714.6443,1943.2035,26.372873417023595,13.329831732447376,3.3301789931411516
Canned Fish,19591.357,49016.10115,37088.75633999999,40613.82522,28068.096079999996,36805.67494,26043.65227,8758.08089,3430.9636000000005,7904.427664999999,4476.0473600000005,30.460356967937514,-43.37291009924119,7.670858399841762
Food Fish,21094.9,33866.89974,39074.30319,27782.12863,18693.903229999996,18536.1379309999,12801.184029999999,10166.02306,3821.975189999999,5983.1300200000005,11696.515019999999,206.0332534497693,95.49157348915506,20.04498685421468
Live fish(2),91.073,106.362,128.43604,180.61732,182.56465,185.62437,98.56475999999999,142.64001,131.58426,135.8647,216.62275000000002,64.62664303466084,59.44005322942606,0.3712387979367408
Other,1399.007,1787.1263999999996,1692.15534,1756.9549199999997,2496.6432999999997,2529.1466,1574.854269,2336.69288,2892.44351,3534.0373200000004,4827.472236999999,66.89944748480148,36.599356483309535,8.273115313774147
Total,78711.79400000001,120045.58436999998,115692.89916000002,106020.06460999999,84463.0947,95636.9350709999,85809.11018900001,56176.253699999994,41736.69885,48808.17415499999,58351.322976999996,39.80818939876457,19.552357749941333,100
,,,,,,,,,,,,,,
Table 3:  Value of Imported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,  Change %  2024/2022,  Change %  2024/2023,Percentage to Total
Dried Fish,2440.7795530000003,2357.2555180599998,3416.1045603400003,3807.79578,4217.654639,5257.2873899999995,6353.206005,4871.0541650000005,3469.980321,3510.759884,5330.572885,53.6196863348148,51.835302359857984,14.535916598017963
Dried Sprats,5863.618722999999,7152.593688999999,9036.9923555,9368.691663,9374.649756190001,9520.754661,10926.718608,9118.893338,9955.459171,9010.941962,14609.979726000001,46.75344928899413,62.13598742075662,39.83989176725596
Maldive fish,646.6040899999999,1658.35257022,1993.8481,1624.212214,1528.0421973400003,1668.372523,1923.729326,1453.3193520000002,925.709063,925.6077819999999,1422.1542459999998,53.62864023294107,53.64545044414935,3.8780663833608044
Canned Fish,5092.198891999999,11918.761415999998,9638.225181,9605.574855,8615.929668,13650.557222,10764.337708,4890.95896,2671.9281590000005,6172.603518000001,3317.8472949999996,24.1742703232613,-46.2488189088318,9.047423720776965
Food fish,4356.755496,6763.7629022,10110.62955334,8604.74907857,7322.68758512,7410.591563,4658.603794,3401.368626,2107.85096,2744.1597690000003,5185.8619419999995,146.02602557820308,88.97813460364884,14.141304941138136
Live fish,117.523067,196.81875526,214.78843461000002,333.62701179,257.407716,287.572027,174.919406,253.00247300000004,430.028657,368.55264800000003,485.76728099999997,12.961606881933907,31.804040382311925,1.3246367388637545
Other,342.46071,681.096141,761.6816415100001,624.806307,1410.013024659991,1157.2691980000018,702.803783,1091.4207809999998,2103.214929,4001.1157150000004,6319.552109000001,200.47105608957955,57.94474739404033,17.232759850586408
Total,18859.940530999997,30728.64099174,35172.2698263,33969.45690936,32726.384586309996,38952.404584,35504.31863,25080.017695,21664.17126,26733.741278,36671.735484000004,69.27365946238373,37.17397465119585,100
,,,,,,,,,,,,,,
Table 4:  Exported Quantity of Fish and Fishery Products (Mt),,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,  Change %  2024/2022,  Change %  2024/2023,Percentage to Total
Live fish(2),na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na 
Prawns ,2001.2790000000002,1340.87685,1666.9001240000002,1844.49075,1983.8250300000002,2115.2169400000002,1780.5468,4746.95174,5486.42846,4019.576705,3431.8869700000005,-37.447704002322844,-14.620687155166493,15.214784272871546
Lobsters ,300.581,204.39748,174.99682,224.39643999999998,231.49798,229.16116,99.34371,196.23825999999997,113.91759,126.77627000000001,82.19368,-27.84812248924859,-35.166352504297535,0.3643940260053018
Crabs,1872.4490000000003,1709.6114800000003,2117.15499,1819.23406,1400.5223079999998,1817.88852,1360.50044,1662.3696,1849.46081,1677.65806,2186.7247399999997,18.235797599842066,30.343887836118384,9.694534078216192
Beche de mer,164.555,169.2616,136.1737,150.35972,247.53267000000002,502.723,326.32905,335.68565,417.56933000000004,400.77457000000004,252.08763000000002,-39.629754417068895,-37.09989383807461,1.1175947639993111
Other Moluscus,2430.612,1371.3491099999999,1567.58363,3152.4305460000005,3672.4951784,2590.0320799999995,1476.5406300000002,2167.6695799999998,2087.85874,3115.2293400000003,2211.17303,5.906256378245196,-29.02053785869904,9.802922105398395
Shark fins,31.895000000000003,38.5244,35.711999999999996,52.436,86.40289999999999,90.87835000000001,55.454130000000006,95.32980000000002,79.20545999999999,99.74301,99.75550000000001,25.945231553481324,0.01252218075232929,0.4422518648778335
Fish maws,2.346,2.2253499999999997,1.389,6.96559,4.73322,3.5339,2.1271,3.9785,7.05021,6.87684,9.768889999999999,38.561688233400126,42.05492639060963,0.04330898868018723
Chank & shells,343.21200000000005,288.83829999999995,297.19800000000004,354.9789,328.75579999999997,275.11556,220.5886,305.98669,271.11582,269.29412,464.54247,71.34465631699398,72.50375537349272,2.059483173082737
Food Fish ,18657.872000000003,11806.72161,11101.059205,16250.33323,18031.259452999995,19885.110030000003,13857.507399999999,16130.227179999998,14959.03845,14380.213824999999,13450.88997,-10.081854425609821,-6.462517639232661,59.63261347493667
Other (4),515.2750000000001,529.3298,494.868415,971.15867,2011.0055899999988,1261.113325,2119.402395,1104.82073,458.27292000000006,407.01093000000003,367.24153,-19.86401247536076,-9.771088948397534,1.6281132519318615
Total,26320.076000000005,17461.13598,17593.035884,24826.783906,27998.0301294,28770.772865,21298.340255,26749.25773,25729.91779,24503.15367,22556.264409999992,-12.334487058615693,-7.945464025651712,100
,,,,,,,,,,,,,,
Table 5:  Value of Exported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,  Change %  2024/2022,  Change %  2024/2023,Percentage to Total
Live fish,1636.3798259999999,2392.217227,1846.7438190000003,2288.273314,2626.075505,2913.281239,2409.219008,4192.676529,7142.956877,8640.978388,7392.095498000001,3.4878919933314467,-14.453026427358761,8.57144915857133
Prawns ,3375.4132079999995,1970.815966,2464.2145910000004,3213.237193,3485.106051,3521.606584,3235.054829,8462.407206,13174.494356,10392.789684000001,8920.866231423182,-32.28684160192916,-14.162929274349576,10.344123851450224
Lobsters ,1148.130085,776.712584,656.7540150000001,781.56231,971.330009,1002.712907,352.071745,879.042997,1060.540651,1437.278656,789.850799,-25.523760144862184,-45.04539563690563,0.9158655983702015
Crabs,2617.029388,2049.6074430000003,2623.1322999999998,3336.066033,4315.999644,5028.569627,3068.361521,6112.657206999999,7796.667490000001,7877.548354,9056.37828852,16.1570414556694,14.964426513756951,10.501255845766726
Beche de mer,521.2736050000001,481.4798609999999,383.45451800000006,494.456584,1399.865481,2272.306,1580.697116,1967.336308,3805.951377,4896.879105999999,3201.96457822,-15.869535339573515,-34.612137467377366,3.712814126547019
Other Moluscus,1139.365468,738.997737,1038.2457550000001,2648.012702,3396.796273,2287.156221,1409.392772,2228.218958,3881.8871919999992,6084.272588846,4367.153851,12.500792398090915,-28.222251925298515,5.063900650584572
Shark fins,150.72083700000002,171.21752000000004,133.008418,213.576217,339,500.492157,341.186741,680.2338459999999,922.413943,1314.238947,1174.7595110000002,27.35708516929911,-10.612943431511306,1.3621836223313113
Fish maws,20.076605000000004,6.128117,15.710575999999998,35.878715,67.735724,77.041614,34.085018,75.97024900000001,155.501501,238.44204000000002,290.17369199999996,86.60507463526027,21.69569258843782,0.3364687386419552
Chank & shells,124.055736,109.28511800000001,113.21851000000001,147.184189,123.212658,149.177723,140.815021,201.378803,228.230841,255.03102700000002,234.15157500000004,2.594186646317462,-8.187024239995703,0.27150871103531055
Food Fish ,23582.965734999994,15528.346741689997,16877.448832999995,24689.739339310003,29758.73272032,34278.033372,25498.396149,37198.397623000004,57528.060567,56703.468732999994,49731.420175782994,-13.552760712551148,-12.295629726016113,57.66569705919029
Other ,481.757686,491.26304875000005,649.7162255999999,1381.68623051,1465,1452.539135,1804.694808,1224.1656309999998,1546.1352100000004,1277.1205409999998,1082.0928071029998,-30.013054479045238,-15.270894769595596,1.2547326375110495
Total,34797.16817899999,24716.07136344,26801.6475606,39229.67282682,47948.85406532,53482.916579,39873.974728,63222.485357000005,97242.84000499999,99118.048064846,86240.90700704919,-11.313874622938934,-12.991721799618377,100
"Source :  Statistics Unit/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,,,,,,,,
Note     : (1) Fisheries sector tables are prepared by SU/MOF based on the monthly custom returns,,,,,,,,,,,,,,
                  (2) Live fish weight included water (container),,,,,,,,,,,,,,
                  (3) EU fish export ban (2015.01.15 - 2016.06.15),,,,,,,,,,,,,,
