"","Table 4.2:  National Fish Production** by Administrative Districts (Mt)","","","","","","","",""
"District","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"1  Colombo","7,220","6,165","4,740","3,420","1,820","2,495","2,390","1,690","1,340"
"2  Gampaha","31,470","30,200","31,370","28,540","25,740","26,620","22,020","20,410","17,995"
"3  Kalutara","46,710","43,400","43,820","46,490","44,960","43,400","38,700","32,675","26,410"
"4  Kandy","780","1,340","690","1,080","940","1,335","1,380","1,285","1,210"
"5  Matale","1,290","1,320","1,230","1,460","1,550","1,360","1,790","1,715","1,645"
"6  Nuwara eliya","80","310","550","590","540","510","620","530","490"
"7  Galle","57,540","48,650","55,100","53,690","41,180","45,635","46,030","46,455","49,990"
"8  Matara","30,950","29,210","30,280","24,100","25,300","24,885","25,240","22,400","27,660"
"9  Hambantota","66,990","77,380","72,410","65,480","51,970","46,600","38,515","35,815","30,080"
"10  Jaffna","32,260","44,465","41,210","44,390","32,650","25,360","18,115","22,645","29,730"
"11  Mannar","19,700","23,090","23,880","26,585","20,320","18,035","21,045","24,400","22,015"
"12  Vavunia","2,770","2,290","400","490","700","345","770","645","315"
"13  Mullaitivu","11,790","7,270","4,340","6,260","8,670","14,500","7,730","11,080","13,980"
"14  Kilinochchi","15,360","13,210","12,280","12,595","7,630","6,060","4,750","6,165","8,700"
"15  Batticaloa","30,500","26,500","20,550","21,090","14,430","15,620","14,980","18,600","18,175"
"16  Ampara","29,870","31,310","32,560","25,060","27,970","23,010","19,645","26,085","27,990"
"17  Trincomalee","30,030","39,500","40,790","33,650","25,190","34,680","28,250","26,840","41,690"
"18  Kurunegala","5,690","3,120","3,870","4,410","6,450","6,035","8,330","10,455","8,105"
"19  Puttalam","86,260","72,280","74,000","67,400","47,880","60,825","51,040","54,260","42,645"
"20  Anuradhapura","12,990","15,760","12,940","17,840","21,850","19,325","21,800","21,380","19,055"
"21  Polonnaruwa","3,530","8,310","11,600","9,960","9,510","8,685","13,670","10,770","11,120"
"22  Badulla","470","850","1,470","2,120","2,680","1,775","2,810","3,270","1,965"
"23  Monaragala","4,200","3,140","5,240","7,550","7,440","7,435","6,115","6,025","7,175"
"24  Ratnapura","2,450","2,220","1,720","1,550","1,330","1,325","1,440","1,440","1,270"
"25  Kegalle","20","20","20","30","40","55","55","35","10"
"Total","530,920","531,310","527,060","505,830","428,740","435,910","397,230","407,070","410,760"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
