"","Villus","Hectares","","","","5,000"
"","3.  Annual Fish Production","","2021","2022","2023","2024"
"3.1","Marine Sector","Mt.","331,675","280,610","293,945","308,430"
"","Coastal Waters","Mt.","178,260","149,440","164,995","165,040"
"","Offshore/Deep Sea Waters","Mt.","153,415","131,170","128,950","143,390"
"3.2","Inland and Aquaculture Sector","Mt.","104,235","116,620","113,125","102,330"
"","Inland Capture Fisheries","Mt.","80,720","94,860","93,440","87,210"
"","Aquaculture Fisheries","Mt.","9,105","7,680","8,085","7,800"
"","Shrimp Farms","Mt.","14,410","14,080","11,600","7,320"
"3.3","Total Production","Mt.","435,910","397,230","407,070","410,760"
"","4. Fishing Fleet (Operting Boats)","","2021","2022","2023","2024"
"4.1","Multy-day Boats (Offshore Vessels) -IMUL","Numbers","5,364","5,088","5,586","4,869"
"","Multy-day Boats  - High seas IMUL","Numbers","1,194","1,485","1,971","1,803"
"","Multy-day Boats  - Other IMUL","Numbers","4,170","3,603","3,615","3,066"
"4.2","Inboard Single Day Boats - IDAY","Numbers","860","831","782","880"
"4.3","Outboard Motor FRP Boats - OFRP","Numbers","24,389","24,530","25,232","24,823"
"4.4","Motorized Traditional Boats - MTRB","Numbers","2,398","2,374","2,619","2,709"
"4.5","Non-motorized Traditional Boats - NTRB","Numbers","15,695","14,877","15,090","15,037"
"4.6","Non-motorized Traditional Beach-seine Boats - NBSB","Numbers","1,070","980","988","953"
"","Total Marine Fishing Fleet","Numbers","49,776","48,680","50,297","49,271"
"4.7","Inland Fishing Fleet","Numbers","9,940","9,879","9,647","9,647"
"","5. Infrastructure Facilities (Marine sector)**","","2021","2022","2023","2024"
"5.1","Major Fishery Harbours(3)","Numbers","23","25","25","25"
"5.2","Functioning Major Fishery Harbours(4)","Numbers","21","23","23","23"
"5.3","Proposed Fishery Harbours for upgrading (5)","Numbers","8","7","7","1"
"5.4","Ongoing Fishery Harbours(6)","Numbers","3","1","1","1"
"5.5","Proposed New Fishery Harbours (7)","Numbers","4","4","4","2"
"5.6","Anchorages","Numbers","17","18","18","19"
"5.7","Minor Fish Landing Centers","Numbers","927","931","1,044","1,083"
"5.8","Active Ice Plants","Numbers","120","108","109","109"
"5.9","Ice Production Capacity","Mt/day","4,973","4,020","4,223","4,223"
"5.10","Active Boat Manufacturing Yards (Registered)","Numbers","65","67","71","71"
"5.11","Fishing Gear Factories","Numbers","38","15","19","19"
"","6. Social Information","","2021","2022","2023","2024"
"6.1","Fisheries Inspector Divisions (Marine)","Numbers","148","148","148","148"
"6.2","Marine Fishing Households","Numbers","185,810","186,500","187,760","188,940"
"6.3","Inland Fishing Households","Numbers","81,410","83,690","85,480","83,960"
"","iii","","","","",""
