"","Table 4.9: Inland and Aquaculture Fish Production by District (Mt)","","","","","","","","",""
"District","1998","2000","2005","2010","2015","2020","2021","2022","2023","2024"
"1 Colombo","80","110","160","120","570","360","915","990","445","295"
"2 Gampaha","360","600","690","190","310","1,710","1,690","1,400","1,200","740"
"3 Kalutara","570","590","180","100","430","2,660","1,140","850","965","440"
"4 Kandy","130","170","310","320","680","940","1,335","1,380","1,285","1,210"
"5 Matale","230","290","330","720","840","1,550","1,360","1,790","1,715","1,645"
"6 Nuwara Eliya","30","30","80","90","170","540","510","620","530","490"
"7 Galle","40","30","30","60","490","720","330","270","175","215"
"8 Matara","20","30","10","40","230","1,040","1,255","920","895","840"
"9 Hambantota","1,420","1,510","1,460","3,280","4,210","5,870","5,395","5,200","5,320","6,490"
"10 Jaffna","100","250","180","80","-","200","270","400","365","355"
"11 Mannar","140","230","na","220","1,350","1,000","1,155","1,640","1,110","740"
"12 Vavunia","","","290","490","1,500","700","345","770","645","315"
"13 Mullaitivu","120","270","na","10","400","840","805","1,340","1,450","1,645"
"14 Kilinochchi","","","na","10","490","720","695","890","1,035","755"
"15 Batticaloa","1,950","3,590","2,460","1,640","2,330","1,830","3,910","4,450","4,915","4,265"
"16 Ampara","970","1,290","2,270","6,140","2,710","19,060","14,230","12,300","14,195","13,780"
"17 Trincomalee","3,460","3,960","1,240","1,840","6,720","4,380","9,460","11,910","10,190","9,905"
"18 Kurunegala","2,140","2,180","2,140","4,390","2,620","6,450","6,035","8,330","10,455","8,105"
"19 Puttalam","6,430","6,490","7,210","5,820","10,620","8,390","14,800","15,280","13,315","9,505"
"20 Anuradhapura","5,190","6,690","5,640","11,920","11,940","21,850","19,325","21,800","21,380","19,055"
"21 Polonnaruwa","3,690","4,870","4,730","7,950","7,160","9,510","8,685","13,670","10,770","11,120"
"22 Badulla","590","660","820","1,240","880","2,680","1,775","2,810","3,270","1,965"
"23 Monaragala","2,140","2,750","1,870","2,950","7,770","7,440","7,435","6,115","6,025","7,175"
"24 Ratnapura","90","100","730","2,770","2,860","1,330","1,325","1,440","1,440","1,270"
"25 Kegalle","10","10","na","20","20","40","55","55","35","10"
"Total","29,900","36,700","32,830","52,410","67,300","101,810","104,235","116,620","113,125","102,330"
"Source : Statistics Unit, Ministry of Fisheries","","","","","","","","","",""
