"","Table 4.4: Marine Sector Fish Catch by Fisheries Districts (Mt)","","","","","","","","","",""
"Fisheries District","1983","1990","1995","2000","2005","2010","2015","2020","2021","2022","2023"
"1  Negombo","19,030","16,670","30,570","34,540","16,940","28,250","36,260","24,030","24,930","20,620","19,275"
"2  Colombo","2,320","2,980","2,550","3,130","560","1,990","6,770","1,460","1,580","1,400","1,245"
"3  Kalutara","7,630","10,670","28,910","33,140","11,560","43,360","32,350","42,300","42,260","37,850","31,710"
"4  Galle","8,590","11,780","21,430","27,830","11,210","21,830","55,240","40,460","45,305","45,760","46,280"
"5  Matara","8,980","11,230","29,930","35,480","17,090","38,970","35,190","24,260","23,630","24,320","21,505"
"6  Tangalle","7,330","10,240","23,260","33,470","6,220","20,170","66,100","46,100","41,205","33,315","30,515"
"7  Kalmunai","10,650","7,710","7,290","9,210","7,940","16,380","18,240","8,910","8,780","7,345","11,890"
"8  Batticaloa","4,460","5,920","8,360","9,860","7,650","39,610","27,790","12,600","11,710","10,530","13,685"
"9  Trincomalee","13,510","9,580","9,130","13,540","6,790","36,250","24,770","20,810","25,220","16,340","16,650"
"10  Mullaitivu","6,960","2,290","400","500","780","1,360","10,080","7,830","13,695","6,390","9,630"
"11  Kilinochchi","na","na","na","na","1,460","560","13,800","6,910","5,365","3,860","5,130"
"12  Jaffna","49,740","14,450","3,400","6,400","12,790","20,890","29,290","32,450","25,090","17,715","22,280"
"13  Mannar","19,040","7,410","700","1,200","8,380","10,790","19,390","19,320","16,880","19,405","23,290"
"14  Puttalam","14,860","19,190","27,020","29,730","11,670","24,830","43,790","26,120","30,990","22,965","22,205"
"15  Chilaw","11,640","15,670","24,550","25,650","9,360","27,020","33,830","13,370","15,035","12,795","18,655"
"Total","184,740","145,790","217,500","263,680","130,400","332,260","452,890","326,930","331,675","280,610","293,945"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","","",""
