"Table 1.7: Fishing Households and Active Fishers - Marine Fisheries - 2023","","","","","","",""
"","","","","Active Fishers","","",""
"","","Number of FI","","","Fishing Household","","Average Fishers per"
"","Fisheries District","","Fishing Households","(Fishermen &","","",""
"","","Divisions","","","Population","Household",""
"","","","","women)","","",""
"1","Negombo","13","9,880","11,210","44,190","","1.1"
"2","Colombo","8","2,010","2,160","8,830","","1.1"
"3","Kalutara","9","4,060","4,110","15,920","","1.0"
"4","Galle","9","7,870","9,510","36,350","","1.2"
"5","Matara","9","12,660","15,790","53,430","","1.2"
"6","Tangalle","12","9,360","13,510","37,340","","1.4"
"7","Kalmunai","12","14,030","15,470","75,610","","1.1"
"8","Batticaloa","15","28,940","41,770","124,420","","1.4"
"9","Trincomalee","11","28,690","28,800","102,780","","1.0"
"10","Mullaitivu","4","6,030","8,350","26,210","","1.4"
"11","Kilinochchi","4","4,610","4,760","16,010","","1.0"
"12","Jaffna","17","23,690","25,870","106,830","","1.1"
"13","Mannar","6","16,890","17,610","71,910","","1.0"
"14","Puttalam","8","9,530","13,350","43,270","","1.4"
"15","Chilaw","11","9,510","11,450","42,340","","1.2"
"","Total","148","187,760","223,720","805,440","","1.2"
