"","Table 7.9  Retail Prices of Local  Dried Fish at Colombo and Suburbs Markets (Rs/Kg) -2023","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","Koduwa","Salaya"
"January","1,945.83","2,912.50","","2,493.75","1,700.00","","","2,500.00","1,250.00"
"February","2,025.00","2,920.83","","2,680.42","1,760.00","","","2,750.00","1,450.00"
"March","1,800.00","2,795.83","","2,350.00","1,562.50","","","2,925.00","1,208.33"
"April","1,741.67","2,795.83","","2,200.00","1,530.00","","","2,562.50","1,170.83"
"May","1,733.33","2,845.83","","2,350.00","1,591.25","","","2,275.00","1,418.33"
"June","1,820.00","2,958.33","","2,381.25","2,387.50","","","2,550.00","1,629.17"
"July","2,116.67","2,958.33","","2,462.50","2,487.50","","","2,900.00","1,633.33"
"August","2,091.67","2,937.50","","2,493.75","2,462.50","","","","1,460.42"
"September","2,054.17","2,908.33","","2,468.75","2,140.00","","","","1,368.75"
"October","2,000.00","2,891.67","3,700.00","2,441.67","1,752.50","","","","1,304.17"
"November","1,804.17","2,858.33","3,642.50","2,387.50","1,706.25","","","","1,037.50"
"December","1,954.17","2,970.83","3,628.75","2,433.33","1,756.25","","","","1,062.50"
"Average","1,923.89","2,896.18","3,657.08","2,428.58","1,903.02","","","2,637.50","1,332.78"
"","Source: Statistics Unit, Ministry of Fisheries","","","","","","","",""
"","Table 7.10  Retail Prices of Imported  Dried Fish at Colombo and Suburbs Markets (Rs/Kg) -2023","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","Koduwa","Salaya"
"January","1,387.50","2,791.67","","2,604.17","","2,623.33","","",""
"February","1,395.63","2,879.17","","2,693.75","","2,554.17","","",""
"March","1,312.50","2,733.33","","2,550.00","","2,543.75","","",""
"April","1,252.50","2,704.17","","2,431.25","","2,437.50","","",""
"May","1,261.67","2,775.83","","2,512.50","","2,456.25","","",""
"June","1,325.00","2,887.50","","2,487.50","","2,406.25","","",""
"July","1,384.17","2,890.00","","2,350.00","","2,462.50","","",""
"August","1,369.17","2,800.00","","2,562.50","","2,668.75","","",""
"September","1,300.00","2,681.67","","2,675.00","","2,420.00","","",""
"October","1,321.67","2,725.00","","2,675.00","","2,500.00","","",""
"November","1,333.33","2,637.50","","2,625.00","","2,391.25","","",""
"December","1,329.17","2,687.50","","2,450.00","","2,393.75","","",""
"Average","1,331.03","2,766.11","","2,551.39","","2,488.13","","",""
"","Source: Statistics Unit, Ministry of Fisheries","","","","","","","",""
"na - Not available","","","","","","","","",""
