"","Table 1.2:  Information of Perennial Tanks by Districts 2022-2023","","","","","","","","","","","","","","","","",""
"","","","","","","","2022","","","","","","","","2023","","",""
"","District","","","","Tanks","","","","Landing","","","","Tanks","","","","","Landing"
"","","","","","","","","Area (Ha)","","","","","","","","","Area (Ha)",""
"","","Major Medium Minor","","","","","Total","","Sites","Major Medium Minor","","","","","Total","","","Sites"
"1","Colombo","-","","-","","13","13","130","7","-","","-","","14","","14","155","15"
"2","Gampaha","-","","-","","50","50","120","40","-","","-","","111","","111","148","111"
"3","Kalutara","","1","-","","20","21","1,300","15","","1","-","","18","","19","1,309","25"
"4","Kandy","","1","-","","59","60","2,850","45","","1","-","","56","","57","2,718","65"
"5","Matale","","2","","5","55","62","7,200","50","","2","","5","43","","50","7,592","59"
"6","Nuwara Eliya","","1","","3","44","48","4,300","30","","1","","3","39","","43","4,293","49"
"7","Galle","-","","-","","7","7","25","5","-","","-","","6","","6","22","6"
"8","Matara","-","","-","","35","35","970","35","-","","-","","35","","35","968","35"
"9","Hambantota","","2","","6","80","88","9,450","87","","2","","6","65","","73","8,673","82"
"10","Jaffna","-","","-","","-","-","-","-","-","","-","","-","","-","-",""
"11","Mannar","","1","","3","35","39","6,100","14","","1","","3","6","","10","3,797","12"
"12","Vavunia","","1","","4","30","35","4,300","15","","1","","4","16","","21","4,333","22"
"13","Mulathivu","","2","","5","36","43","10,600","30","","2","","5","26","","33","7,366","35"
"14","Killinochchi","","2","","2","20","24","5,500","15","","2","","2","4","","8","4,762","11"
"15","Batticaloa","","2","","5","50","57","5,500","22","","2","","5","14","","21","4,826","21"
"16","Ampara","","7","","13","110","130","27,700","85","","7","","13","75","","95","23,919","104"
"17","Trincomalee","","2","","4","90","96","13,900","55","","1","","4","51","","56","8,090","58"
"18","Kurunegala","","2","","9","43","54","9,200","60","","2","","9","35","","46","8,849","68"
"19","Puttalam","-","","","5","40","45","4,800","45","-","","","5","30","","35","2,765","44"
"20","Anuradhapura","","11","","12","116","139","29,500","190","","11","","12","123","","146","30,746","197"
"21","Polonnaruwa","","5","","3","110","118","19,700","105","","5","","3","90","","98","18,951","110"
"22","Badulla","","1","","6","40","47","5,550","45","","1","","6","29","","36","5,421","43"
"23","Monaragala","","2","","6","86","94","7,810","90","","2","","6","78","","86","8,089","87"
"24","Ratnapura","","1","","2","35","38","5,100","20","","1","","2","17","","20","4,655","22"
"25","Kegalle","-","","-","","20","20","35","15","-","","-","","20","","20","14","20"
"Total","","","46","","93","1,224","1,363","181,640","1,120","","45","","93","1,001","","1,139","162,461","1,301"
"Source : National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","","","","","","","",""
