"","Table 5.1:  Stocking of Fish Fingerlings","","","","","","","",""
"Type of Water body","2010","2015","2017","2018","2019","2020","2021","2022","2023"
"Major Reservoirs","","","","","","","","",""
"No. of Tanks","32","32","38","41","39","41","41","40","39"
"Area (ha)","64,830","63,298","75,599","78,132","73,851","79,635","77,230","80,467","78,634"
"Stocks (Mn)","6","11.7","22.8","30.1","21.1","24.3","28.6","44.81","19.07"
"Beneficiaries/ Fishermen","na","7,214","8,312","8,450","8,220","8,798","8,410","8,550","7,922"
"Medium Reservoirs","","","","","","","","",""
"No. of Tanks","63","66","70","78","77","77","80","82","75"
"Area (ha)","23,374","24,485","26,327","28,355","28,021","27,832","28,477","29,600","26,972"
"Stocks (Mn)","10","16.3","23.5","31.2","26.4","26.7","29.9","33.77","20.97"
"Beneficiaries/ Fishermen","na","4,326","5,169","5,280","5,200","5,045","5,056","5,150","4,296"
"Minor Reservoirs","","","","","","","","",""
"No. of Tanks","293","257","270","288","230","315","320","348","261"
"Area (ha)","12,795","15,426","16,140","17,900","14,900","19,400","19,600","23,000","16,200"
"Stocks (Mn)","11","15.9","30.1","32.8","23.4","29.8","34.3","43.20","21.45"
"Beneficiaries/ Fishermen","na","4,450","7,041","7,400","5,500","7,263","7,380","7,500","6,100"
"Seasonal Tanks","","","","","","","","",""
"No. of Tanks","450","453","97","491","819","538","735","971","339"
"Area (ha)","4,675","5,889","1,165","6,350","10,750","7,100","9,400","13,000","4,500"
"Stocks (Mn)","7","7.1","1.8","9.1","12.0","9.3","13.2","17.21","6.43"
"Beneficiaries/ Fishermen","na","4,980","1,150","6,000","10,000","7,000","9,800","12,500","4,100"
"Ponds and Other","","","","","","","","",""
"No. of Ponds","549","654","600","1,170","850","504","259","376","385"
"Area (ha)","193","33","31","60","45","27","15","20","23"
"Stocks (Mn)","1","2.0","1.4","3.5","4.6","2.4","2.4","2.95","2.85"
"Beneficiaries/ Fishermen","na","654","600","1,170","850","504","259","368","375"
"Other","","","","","","","","",""
"Stocks (Mn)","-","0.7","1.5","3.7","1.0","2.1","2.4","2.6","1.1"
"Total","","","","","","","","",""
"No. of Tanks/Ponds","1,387","1,462","1,075","2,068","2,015","1,475","1,435","1,817","1,099"
"Area (ha)","105,867","109,131","119,262","130,797","127,567","133,994","134,722","146,087","126,329"
"Stocks (Mn)","34.3","53.7","81.2","110.3","88.4","94.5","110.9","144.56","71.82"
"Beneficiaries/ Fishermen","na","21,624","22,272","28,300","29,770","28,610","30,905","34,068","22,793"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","",""
