"","Table 4.3:  National Fish Production** by Fishing Sub-sectors and Administrative Districts (Mt), 2021 - 2023","","","","","","","",""
"","","2021","","","2022","","","2023",""
"District","","Inland &","","","Inland &","","","Inland &",""
"","Marine","","Total","Marine","","Total","Marine","","Total"
"","","Aquacultur","","","Aquaculture","","","Aquaculture",""
"1 Colombo","1,580","915","2,495","1,400","990","2,390","1,245","445","1,690"
"2 Gampaha","24,930","1,690","26,620","20,620","1,400","22,020","19,275","1,200","20,410"
"3 Kalutara","42,260","1,140","43,400","37,850","850","38,700","31,710","965","32,675"
"4 Kandy","-","1,335","1,335","-","1,380","1,380","","1,285","1,285"
"5 Matale","-","1,360","1,360","-","1,790","1,790","","1,715","1,715"
"6 Nuwara eliya","-","510","510","-","620","620","","530","530"
"7 Galle","45,305","330","45,635","45,760","270","46,030","46,280","175","46,455"
"8 Matara","23,630","1,255","24,885","24,320","920","25,240","21,505","895","22,400"
"9 Hambantota","41,205","5,395","46,600","33,315","5,200","38,515","30,515","5,320","35,815"
"10  Jaffna","25,090","270","25,360","17,715","400","18,115","22,280","365","22,645"
"11  Mannar","16,880","1,155","18,035","19,405","1,640","21,045","23,290","1,110","24,400"
"12  Vavunia","-","345","345","-","770","770","","645","645"
"13  Mullaitivu","13,695","805","14,500","6,390","1,340","7,730","9,630","1,450","11,080"
"14  Kilinochchi","5,365","695","6,060","3,860","890","4,750","5,130","1,035","6,165"
"15  Batticaloa","11,710","3,910","15,620","10,530","4,450","14,980","13,685","4,915","18,600"
"16  Ampara","8,780","14,230","23,010","7,345","12,300","19,645","11,890","14,195","26,085"
"17  Trincomalee","25,220","9,460","34,680","16,340","11,910","28,250","16,650","10,190","26,840"
"18  Kurunegala","-","6,035","6,035","-","8,330","8,330","","10,455","10,455"
"19  Puttalam","46,025","14,800","60,825","35,760","15,280","51,040","40,860","13,315","54,260"
"20  Anuradhapura","-","19,325","19,325","-","21,800","21,800","","21,380","21,380"
"21  Polonnaruwa","-","8,685","8,685","-","13,670","13,670","","10,770","10,770"
"22  Badulla","-","1,775","1,775","-","2,810","2,810","","3,270","3,270"
"23  Monaragala","-","7,435","7,435","-","6,115","6,115","","6,025","6,025"
"24  Ratnapura","-","1,325","1,325","-","1,440","1,440","","1,440","1,440"
"25  Kegalle","-","55","55","-","55","55","","35","35"
"Total","331,675","104,235","435,910","280,610","116,620","397,230","293,945","113,125","407,070"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
