"","Aquaculture Centers of NAQDA, 2010-2023(Mn)","","","","","","","","","",""
"Variety","2010","2015","2016","2017","2018","","2019","2020","2021","2022","2023"
"Fish Fingerlings","","","","","","","","","","",""
"Tilapia","7.9","24.4","30.1","21.2","24.3","","16.6","16.6","13.9","19.8","12.51"
"Carp","6.7","5.9","8.1","1.9","3.5","","2.6","4.4","3.8","4.1","1.9"
"Catla/Rohu","18.9","16.2","18.7","10.5","11.0","","5.6","11.8","17.2","15.2","6"
"Hirikanaya","1.3","0.3","0.2","0.4","0.1","-","","0.3","0.1","0.5","0"
"Milk Fish","-","-","-","-","","","-","-","-","-","-"
"Mirigal","-","-","12.6","4.1","9.3","","4.4","3.2","5.8","7.7","5.09"
"Other","-","8.5","-","-","","","","-","1.4","0.4","-"
"Total","34.9","55.3","69.7","38.1","48.2","","29.2","36.3","42.1","47.7","25.5"
"Post Larvae","","","","","","","","","","",""
"Freshwater Prawns","13.0","23.7","39.8","41.4","51.1","","65.9","77.7","52.4","47.7","46.1"
"Shrimps*(1)","","484.0","554.3","478.4","519.9","","428.0","398.0","192.3","86.5","88.8"
"Shrimps*(2)","","","","","","","42.1","289.0","544.2","651.2","669.3"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","",""
