"","Table 1.3 : Fishing Households and Active Fishers - Marine Sector","","","","","",""
"","","Active Fishers","Fishing Household","Average Fishers per","","Average Persons",""
"Year","Fishing Households","","","","","",""
"","","(fishermen & women)","Population","HH","","per HH",""
"1972","43,269","58,298","235,100","","1.2","","5.4"
"1982","56,320","68,900","292,200","","1.2","","5.2"
"2001","98,157","115,014","441,707","","1.2","","4.5"
"2005","137,300","160,300","641,700","","1.2","","4.7"
"2010","184,100","212,920","816,500","","1.2","","4.4"
"2015","190,960","221,560","830,560","","1.2","","4.3"
"2016","188,690","218,830","827,480","","1.2","","4.4"
"2017","183,650","220,870","802,340","","1.2","","4.4"
"2018","181,880","218,130","795,190","","1.2","","4.4"
"2019","185,390","224,610","804,760","","1.2","","4.3"
"2020","185,570","225,020","804,980","","1.2","","4.3"
"2021","185,810","224,190","803,820","","1.2","","4.3"
"2022","186,500","223,490","804,340","","1.2","","4.3"
"2023","187,760","223,720","805,440","","1.2","","4.3"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","",""
"","Table 1.4 : Fishing Households and Active Fishers - Inland Sector","","","","","",""
"","","Active Fishers","Fishing Household","Average Fishermen","","Average Persons",""
"Year","Fishing Households","","","","","",""
"","","(fishermen & women)","Population","per HH","","per HH",""
"2000","16,300","18,000","73,350","","1.1","","4.5"
"2005","22,100","24,200","97,240","","1.1","","4.4"
"2010","28,500","31,400","122,550","","1.1","","4.3"
"2015","48,900","54,450","207,410","","1.1","","4.2"
"2016","49,450","54,520","210,160","","1.1","","4.2"
"2017","54,170","60,595","216,270","","1.1","","4.0"
"2018","56,250","61,590","222,270","","1.1","","4.0"
"2019","64,290","70,715","247,570","","1.1","","3.9"
"2020","81,070","90,650","318,730","","1.1","","3.9"
"2021","81,410","91,020","320,060","","1.1","","3.9"
"2022","83,690","92,060","323,120","","1.1","","3.9"
"2023","83,770","94,750","323,370","","1.1","","3.9"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","",""
