"Table 4.5: Marine Sector Fish Catch by Major Commercial Groups (Mt) (Provisional)","","","","","","","","","","",""
"","Commercial Groups","","2010","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Thora","Seer","10,200","14,390","25,650","30,000","8,940","7,440","7,790","7,670","7,740"
"2","Paraw","Travelly","16,740","24,580","25,160","29,270","34,050","32,620","23,690","22,290","21,070"
"3","Balaya","Skipjack tuna","66,910","53,410","73,350","61,750","54,040","47,730","57,960","55,000","47,230"
"4","Kelawalla","Yellowfin tuna","45,450","42,780","45,760","45,200","46,430","39,600","38,960","41,690","44,760"
"","","Other blood","","","","","","","","",""
"","Tuna like fishes","","48,930","40,640","50,200","59,190","46,930","38,750","44,520","51,900","44,710"
"5","","fish","","","","","","","","",""
"6","Thalapath","All Bill fishes","***","***","***","***","26,040","32,530","33,180","32,680","32,200"
"7","Mora / Maduwa","Shrks/Sketes","13,290","9,230","8,030","7,440","5,860","8,980","13,620","13,500","14,240"
"8","Gal Ma'lu","Rock fish","20,150","34,680","35,450","34,890","34,960","33,920","31,100","29,060","27,950"
"9","Shore seine varietiesSmall fishes","","77,210","135,460","118,560","108,420","136,790","153,180","143,250","132,160","119,500"
"10","Issa","Shrimps","17,640","26,730","29,230","23,940","20,090","19,720","17,620","16,970","16,930"
"11","Pokirissa","Lobsters","890","1,960","1,890","1,480","630","960","540","570","470"
"12","Kakuluwa","Crabs","6,260","10,620","9,370","6,450","9,670","11,920","11,510","12,830","13,600"
"13","Others","Other marine varieties 8,590","","22,740","23,280","51,270","28,460","29,640","25,700","23,050","25,090"
"","Total","","332,260","417,220","445,930","459,300","452,890","456,990","449,440","439,370","415,490"
