"","Table 1.5: Active Fishers by District (Marine Fisheries)","","","","","","","","","","","",""
"","Fisheries District","1989","1996","1999","2004","2008","2012","2014","2015","2016","2017","2018","2019"
"1","Negombo","7,419","10,146","14,573","16,800","11,500","9,870","10,020","11,410","10,570","10,300","9,430","9,590"
"2","Colombo","1,610","2,235","2,653","2,800","1,730","1,610","1,930","2,400","2,340","2,090","2,100","2,300"
"3","Kalutara","3,157","4,150","4,322","4,200","4,810","6,060","6,270","6,120","4,820","4,870","4,960","4,180"
"4","Galle","3,590","5,134","6,304","6,300","5,880","10,480","10,710","12,890","12,420","11,350","11,400","11,390"
"5","Matara","4,426","5,120","5,276","7,100","7,710","11,260","11,820","13,180","15,570","14,100","14,430","14,840"
"6","Tangalle","3,354","4,843","7,001","6,100","6,580","10,730","11,160","14,990","12,010","14,130","13,520","13,780"
"7","Kalmunai","9,022","13,224","14,592","15,500","20,600","26,460","26,190","20,400","22,290","16,380","16,670","15,970"
"8","Batticaloa","12,843","13,533","15,137","21,600","23,540","30,280","29,590","29,620","31,820","39,250","39,410","40,330"
"9","Trincomalee","6,502","7,557","10,748","16,100","22,460","35,040","34,540","33,950","32,960","31,830","31,180","29,700"
"10","Mullativu","3,183","","1,950","3,300","2,090","2,180","3,150","3,460","5,250","5,290","6,120","8,950"
"11","Kilinochchi","1,103","35,000","1,400","3,700","2,180","3,890","4,960","3,900","4,190","3,920","3,970","4,150"
"12","Jaffna","24,839","","9,614","16,800","18,240","23,420","24,440","23,480","22,690","24,770","23,570","24,070"
"13","Mannar","5,684","","4,593","9,400","10,540","18,960","18,380","17,540","18,570","14,300","15,390","18,610"
"14","Puttalam","4,539","9,795","13,161","12,100","14,410","16,450","15,860","15,880","12,530","19,000","16,210","16,860"
"15","Chilaw","7,173","8,039","9,090","10,000","10,200","11,860","12,330","12,340","10,800","9,290","9,770","9,890"
"","Total","98,444","118,776","120,414","151,800","162,470","218,550","221,350","221,560","218,830","220,870","218,130","224,610"
"Source: Statistics Unit - Ministry of Fisheries","","","","","","","","","","","","",""
