"","Table 4.3:  National Fish Production** by Fishing Sub-sectors and Administrative Districts (Mt) 2017 - 2019","","","","","","","",""
"","","2017","","","2018","","","2019",""
"District","","","","","","","","",""
"","Marine","Inland","Total","Marine","Inland","Total","Marine","Inland","Total"
"1 Colombo","5,935","230","6,165","4,650","90","4,740","3,270","150","3,420"
"2 Gampaha","29,720","480","30,200","30,370","1,000","31,370","27,550","990","28,540"
"3 Kalutara","42,440","960","43,400","41,750","2,070","43,820","44,380","2,110","46,490"
"4 Kandy","-","1,340","1,340","-","690","690","-","1,080","1,080"
"5 Matale","-","1,320","1,320","-","1,230","1,230","-","1,460","1,460"
"6 Nuwara eliya","-","310","310","-","550","550","-","590","590"
"7 Galle","47,750","900","48,650","54,100","1,000","55,100","52,950","740","53,690"
"8 Matara","28,800","410","29,210","29,710","570","30,280","23,260","840","24,100"
"9 Hambantota","68,050","9,330","77,380","64,230","8,180","72,410","57,500","7,980","65,480"
"10  Jaffna","44,465","","44,465","41,070","140","41,210","44,250","140","44,390"
"11  Mannar","21,380","1,710","23,090","23,250","630","23,880","25,270","1,315","26,585"
"12  Vavunia","-","2,290","2,290","-","400","400","-","490","490"
"13  Mullaitivu","5,470","1,800","7,270","3,110","1,230","4,340","5,120","1,140","6,260"
"14  Kilinochchi","11,840","1,370","13,210","11,190","1,090","12,280","11,670","925","12,595"
"15  Batticaloa","23,500","3,000","26,500","17,850","2,700","20,550","18,300","2,790","21,090"
"16  Ampara","20,880","10,430","31,310","18,450","14,110","32,560","12,580","12,480","25,060"
"17  Trincomalee","33,410","6,090","39,500","34,300","6,490","40,790","28,800","4,850","33,650"
"18  Kurunegala","-","3,120","3,120","-","3,870","3,870","-","4,410","4,410"
"19  Puttalam","65,800","6,480","72,280","65,340","8,660","74,000","60,590","6,810","67,400"
"20  Anuradhapura","-","15,760","15,760","-","12,940","12,940","-","17,840","17,840"
"21  Polonnaruwa","-","8,310","8,310","-","11,600","11,600","-","9,960","9,960"
"22  Badulla","-","850","850","-","1,470","1,470","-","2,120","2,120"
"23  Monaragala","-","3,140","3,140","-","5,240","5,240","-","7,550","7,550"
"24  Ratnapura","-","2,220","2,220","-","1,720","1,720","-","1,550","1,550"
"25  Kegalle","-","20","20","-","20","20","-","30","30"
"Total","449,440","81,870","531,310","439,370","87,690","527,060","415,490","90,340","505,830"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
"Department of Fisheries and Aquatic Resources and   NAQDA","","","","","","","","",""
"Note:      **   :  National","","","","","","","","",""
