"","Table 3.4:  Inland Fishing Crafts*  by District","","","","","","","","","","","","","","","","",""
"","District","2009","","2010","","2011","","2012","","2013","","2014","2015","","2016","2017","2018","2019"
"1","Colombo","60","","70","","10","","10","","7","","46","46","","46","45","40","30"
"2","Gampaha","20","","20","","10","","10","","10","","10","10","","39","40","35","30"
"3","Kalutara","30","","30","","80","","60","","27","","38","57","","68","75","71","75"
"4","Kandy","90","","110","","100","","80","","80","","118","118","","145","145","125","125"
"5","Matale","350","","360","","270","","290","","289","","289","289","","323","330","330","380"
"6","Nuwara Eliya","20","","20","","100","","100","","98","","98","98","","110","115","115","120"
"7","Galle","40","","40","","40","","40","","40","","40","40","","45","55","51","80"
"8","Matara","40","","40","","90","","90","","71","","58","58","","120","120","110","120"
"9","Hambantota","540","","560","","740","","700","","696","","696","746","","735","740","740","830"
"10","Jaffna **","","-","","-","","-","","-","","-","-","","-","-","-","-","-"
"11","Mannar","30","","50","","170","","190","","271","","271","271","","331","350","363","360"
"12","Vavunia","40","","80","","250","","140","","132","","232","232","","307","295","280","260"
"13","Mullaitivu","10","","30","","230","","230","","217","","217","217","","463","425","415","380"
"14","Kilinochchi","10","","20","","170","","190","","265","","265","265","","259","245","240","240"
"15","Batticaloa","340","","380","","480","","480","","446","","495","495","","574","580","636","640"
"16","Ampara","610","","620","","880","","870","","866","","1,248","1,248","","1,467","1,450","1,436","1,350"
"17","Trincomalee","380","","390","","350","","350","","359","","359","359","","402","445","445","440"
"18","Kurunegala","610","","670","","450","","740","","732","","732","732","","673","645","645","630"
"19","Puttalam","220","","230","","350","","340","","329","","223","273","","265","265","255","255"
"20","Anuradhapura","1,780","","1,790","","1,330","","1,410","","1,103","","1,103","1,153","","1,321","1,365","1,376","1,510"
"21","Polonnaruwa","1,410","","1,490","","1,040","","1,070","","1,048","","1,048","1,073","","1,013","1,040","1,105","1,010"
"22","Badulla","380","","390","","350","","360","","351","","351","371","","366","385","391","390"
"23","Monaragala","370","","410","","390","","440","","390","","454","482","","418","410","410","415"
"24","Ratnapura","180","","190","","140","","170","","161","","145","145","","171","175","176","190"
"25","Kegalle **","","-","","-","","-","","-","","-","-","","-","-","5","5","10"
"","Total","7,560","","7,990","","8,020","","8,360","","7,988","","8,536","8,778","","9,661","9,745","9,795","9,870"
"Source :  Statistics Unit, Ministry of Fisheries and  NAQDA","","","","","","","","","","","","","","","","","",""
