     ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Monthly Fish Production Statistics   ,,,,,,,,,
June 2019,,,,,,,,,
,,,,,,,,,
Table 1: Fish Production (Metric tons),,,,,,,,,
,,,,,,,,,
Fishing Sub-sector,,2015.0,2016.0,2017.0,2018.0,    2018    (Jan-Jun),  2019* (Jan-Jun),Change in 2019 compared to 2018 (%),Percentage share (%)
1,Off shore/Deep Sea,183870.0,182830.0,189720.0,190350.0,101180,93690,-7.402648744811227,36.81769953236138
2,Coastal,269020.0,274160.0,259720.0,249020.0,119360,119250,-0.09215817694369972,46.862105552717416
,Total Marine,452890.0,456990.0,449440.0,439370.0,220540,212940,-3.446086877663916,83.6798050850788
3,Inland Capture,57060.0,58410.0,68500.0,71020.0,26680,34270,28.448275862068968,13.467206350453884
4,Inland Culture,3150.0,9490.0,8740.14,8490.0,3090,3650,18.12297734627832,1.4343537548630487
5,Shrimp Farms,7090.0,6030.0,4630.0,8180.0,4080,3610,-11.519607843137255,1.4186348096042756
,Total Inland,67300.0,73930.0,81870.14,87690.0,33850,41530,22.68833087149188,16.32019491492121
,Sri Lanka ,520190.0,530920.0,531310.14,527060.0,254390,254470,0.031447777035260825,100
Source: Statistics Unit of MFADRD,,,,,,,,,
