"","Table 6.6: Quantity of Exported Fish and Fishery Products by Countries","","","","","","","","","",""
"","","","","","","Exported Quantity by Countries","","","","",""
"","Total","","","","","","","","","",""
"","","European Union","","Other European","","U. S. A.","","Japan","","Other Non European",""
"Year","Quantity","","","","","","","","","",""
"","(Mt)","","","","","","","","","",""
"","","Quantity","","Quantity","","Quantity","","Quantity","","Quantity",""
"","","","%","","%","","%","","%","","%"
"","","(Mt)","","(Mt)","","(Mt)","","(Mt)","","(Mt)",""
"2010","18,325","10,219.81","55.8","468.00","2.6","1,175.75","6.4","2,147.73","11.7","4,314.00","23.5"
"2011","18,462","7,969.70","43.2","603.73","3.3","1,648.91","8.9","3,239.08","17.5","5,000.41","27.1"
"2012","18,631","6,054.11","32.5","472.60","2.5","3,198.66","17.2","4,355.85","23.4","4,549.95","24.4"
"2013","23,910","7,822.60","32.7","403.70","1.7","3,884.31","16.2","4,153.17","17.4","7,646.55","32.0"
"2014","26,320","8,447.85","32.1","547.32","2.1","4,324.36","16.4","3,076.85","11.7","9,923.70","37.7"
"2015","17,461","2,064.94","11.8","673.21","3.9","4,391.67","25.2","2,288.61","13.1","8,042.70","46.1"
"2016","17,593","2,541.60","14.4","612.81","3.5","4,719.21","26.8","2,052.49","11.7","7,666.93","43.6"
"2017","24,827","5,725.00","23.1","856.00","3.4","4,408.00","17.8","2,030.00","8.2","11,808.00","47.6"
"2018","27,998","7,597.00","27.1","849.00","3.0","4,193.00","15.0","2,185.00","7.8","13,175.00","47.1"
"Source :  Custom Returns/ Statistics Unit -  Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","",""
