"","Villus","Hectares","","","","5,000"
"3.  Annual Fish Production","","","2015","2016","2017","2018"
"3.1","Marine Sector","Mt.","452,890","456,990","449,440","439,370"
"","Coastal Waters","Mt.","269,020","274,160","259,720","249,020"
"","Offshore/Deep Sea Waters","Mt.","183,870","182,830","189,720","190,350"
"3.2","Inland and Aquaculture Sector","Mt.","67,300","73,930","81,870","87,690"
"","Inland Capture Fisheries","Mt.","57,060","58,410","68,500","71,020"
"","Aquaculture Fisheries","Mt.","3,150","9,490","8,740","8,490"
"","Shrimp Farms","Mt.","7,090","6,030","4,630","8,180"
"3.3","Total Production","Mt.","520,190","530,920","531,310","527,060"
"4. Fishing Fleet (Operting Boats)","","","2015","2016","2017","2018"
"","","","4,218","3,996","4,196","4,381"
"4.1","Multy-day Boats (Offshore Vessels) -IMUL","Numbers","","","",""
"","Multy-day Boats  - High seas IMUL","Numbers","1,612","1,407","1,346","1,281"
"","Multy-day Boats  - Other IMUL","Numbers","2,606","2,589","2,850","3,300"
"4.2","Inboard Single Day Boats - IDAY","Numbers","719","786","868","918"
"4.3","Outboard Motor FRP Boats - OFRP","Numbers","24,028","24,282","22,394","24,132"
"4.4","Motorized Traditional Boats - MTRB","Numbers","1,872","1,839","2,185","2,206"
"4.5","Non-motorized Traditional Boats - NTRB","Numbers","17,813","17,853","16,035","17,434"
"4.6","Non-motorized Traditional Beach-seine Boats - NBSB","Numbers","1,688","1,913","1,212","1,320"
"","Total Marine Fishing Fleet","Numbers","50,338","50,669","46,890","50,591"
"4.7","Inland Fishing Fleet","Numbers","8,778","9,661","9,745","9,795"
"5. Infrastructure Facilities (Marine sector)**","","","2015","2016","2017","2018"
"5.1","Major Fishery Harbours(3)","Numbers","22*","22*","22*","22*"
"5.2","Functioning Major Fishery Harbours(4)","Numbers","21","21","21","21"
"5.3","Proposed Fishery Harbours for upgrading (5)","Numbers","6","6","6","12"
"5.4","Ongoing Fishery Harbours(6)","Numbers","na","na","na","3"
"5.5","Proposed New Fishery Harbours (7)","Numbers","8","8","na","na"
"5.6","Anchorages","Numbers","58","58","na","na"
"5.7","Minor Fish Landing Centers","Numbers","890","890","na","na"
"5.8","Active Ice Plants","Numbers","104","na","94","94"
"5.9","Ice Production Capacity","Mt/day","3,781","na","3,309.5","3,309.5"
"5.1","Boat Manufacturing Yards (Registered)","Numbers","39","na","61","72"
"5.11","Fishing Gear Factories (8)","Numbers","11","na","10","10"
"","","iii","","","",""
"6. Social Information**","","","2015","2016","2017","2018"
"6.1","Fisheries Inspector Divisions (Marine)","Numbers","148","148","149","149"
