"","Table 4.12:  Shrimp Production (Aquaculture)","","","","","","","","",""
"District","Area (Ha)","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","No. of Ponds","2,350","2,186","2,279","2,903","4,235","4,184","4,016","3,221","4,155"
"Puttalam","","","","","","","","","",""
"","Area (Ha)","1,186","1,077","1,202","1,347","2,038","2,011","1,890","1,576","1,987"
"","Production (Mt)","3,319","3,940","3,022","4,180","4,850","6,702","5,825","4,307","7,776"
"","No. of Farms","","","","","","","65","","76"
"","No. of Ponds","18","-","107","137","224","","186","195","192"
"Batticaloa","Area (Ha)","38","49","123","225","205","","109","128","121"
"","Production (Mt)","161","208","270","250","300","388","205","323","404"
"Nandikadal","","","","","","","","","",""
"","Production (Mt)","-","2","-","-","-","-","-","-","-"
