"","Table 6.2 : Export Quantity of Fish and Fishery Products ( Mt)","","","","","","","","","","","","",""
"Exported Item","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Shrimps","1,800","1,837","2,023","854","1,432","1,262","1,380","1,078","1,625","2,001","1,341","1,667","1,845","1,984"
"Lobsters","183","168","184","249","133","166","199","119","340","301","204","175","224","231"
"Crabs","1,012","568","1,150","1,284","2,047","1,848","2,104","1,557","1,861","1,872","1,710","2,117","1,819","1,401"
"Beche de Mer","258","153","208","180","105","178","272","255","259","165","169","136","150","248"
"Ornamental Fish","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"Chank & Shells","546","451","564","493","451","617","413","325","286","343","289","297","355","329"
"Shark Fins","74","75","67","51","65","69","91","56","34","32","39","36","53","86"
"Molluscs","300","106","713","1,460","241","496","1,023","1,642","2,064","2,431","1,371","1,568","3,153","3,672"
"Fish Maws","1","1","1","1","2","1","4","2","3","2","2","1","7","5"
"Food Fish","10,960","14,301","15,473","15,014","13,857","13,372","12,594","13,228","16,919","18,658","11,807","11,101","16,250","18,031"
"Others","851","987","1,039","1,008","381","316","382","369","519","515","529","495","971","2,011"
"Export Quantity","15,985","18,647","21,422","20,594","18,714","18,325","18,462","18,631","23,910","26,320","17,461","17,593","24,827","27,998"
"Source :  Custom Returns/ Statistics Unit - Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","","","","",""
