"Table 4.10: Inland Fish Catch Estimates by Major Species (Mt)","","","","","","","","","","","",""
"Species","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Tilapia","22,310","25,430","26,320","28,250","32,000","39,590","39,070","46,610","40,504","43,836","50,065","51,810"
"Carps/Mirigal","1,650","3,360","2,960","3,740","3,680","3,570","3,450","3,920","2,847","3,363","4,250","3,630"
"Catla/Rohu","6,320","8,840","8,740","9,760","11,260","12,460","8,980","11,020","9,117","7,772","8,435","9,115"
"Hiri Kanaya","1,140","1,820","1,930","2,620","1,940","670","590","580","358","230","330","300"
"Lula","1,820","1,350","1,480","1,930","630","1,770","2,040","2,230","1,582","1,849","2,765","1,645"
"Cultured Shrimps","3,580","2,230","3,550","3,480","4,150","3,310","4,430","5,040","6,836","6,028","4,630","8,180"
"Freshwater prawns","200","20","20","240","260","290","540","460","374","705","890","1,340"
"Cultured Milk fish & Sea","","","","","","","","","","","",""
"","40","30","40","30","100","130","90","70","78","174","290","515"
"bass","","","","","","","","","","","",""
"Other wild fish","1,320","1,410","1,520","2,360","5,540","7,160","7,720","5,820","5,604","9,973","10,215","11,155"
"Total","38,380","44,490","46,560","52,410","59,560","68,950","66,910","75,750","67,300","73,930","81,870","87,690"
