"","Table 4.3:  National Fish Production** by Fishing Sub-sectors and Administrative Districts (Mt) 2016 - 2018","","","","","","","",""
"","","2016","","","2017","","","2018",""
"District","","","","","","","","",""
"","Marine","Inland","Total","Marine","Inland","Total","Marine","Inland","Total"
"1 Colombo","6,310","910","7,220","5,935","230","6,165","4,650","90","4,740"
"2 Gampaha","31,150","320","31,470","29,720","480","30,200","30,370","1,000","31,370"
"3 Kalutara","46,090","620","46,710","42,440","960","43,400","41,750","2,070","43,820"
"4 Kandy","","780","780","-","1,340","1,340","-","690","690"
"5 Matale","","1,290","1,290","-","1,320","1,320","-","1,230","1,230"
"6 Nuwara eliya","","80","80","-","310","310","-","550","550"
"7 Galle","56,890","650","57,540","47,750","900","48,650","54,100","1,000","55,100"
"8 Matara","30,550","400","30,950","28,800","410","29,210","29,710","570","30,280"
"9 Hambantota","62,510","4,480","66,990","68,050","9,330","77,380","64,230","8,180","72,410"
"10  Jaffna","32,260","-","32,260","44,465","","44,465","41,070","140","41,210"
"11  Mannar","17,510","2,190","19,700","21,380","1,710","23,090","23,250","630","23,880"
"12  Vavunia","","2,770","2,770","-","2,290","2,290","-","400","400"
"13  Mullaitivu","11,140","650","11,790","5,470","1,800","7,270","3,110","1,230","4,340"
"14  Kilinochchi","14,560","800","15,360","11,840","1,370","13,210","11,190","1,090","12,280"
"15  Batticaloa","28,500","2,000","30,500","23,500","3,000","26,500","17,850","2,700","20,550"
"16  Ampara","20,180","9,690","29,870","20,880","10,430","31,310","18,450","14,110","32,560"
"17  Trincomalee","23,780","6,250","30,030","33,410","6,090","39,500","34,300","6,490","40,790"
"18  Kurunegala","","5,690","5,690","-","3,120","3,120","-","3,870","3,870"
"19  Puttalam","75,560","10,700","86,260","65,800","6,480","72,280","65,340","8,660","74,000"
"20  Anuradhapura","","12,990","12,990","-","15,760","15,760","-","12,940","12,940"
"21  Polonnaruwa","","3,530","3,530","-","8,310","8,310","-","11,600","11,600"
"22  Badulla","","470","470","-","850","850","-","1,470","1,470"
"23  Monaragala","","4,200","4,200","-","3,140","3,140","-","5,240","5,240"
"24  Ratnapura","","2,450","2,450","-","2,220","2,220","-","1,720","1,720"
"25  Kegalle","","20","20","-","20","20","-","20","20"
"Total","456,990","73,930","530,920","449,440","81,870","531,310","439,370","87,690","527,060"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","",""
