"","Table  7.7  Wholesale Prices of Local Dried Fish at Pettah (Rs/Kg) --2022","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya"
"January","906.25","1,218.13","1,656.67","1,390.63","630.00","1,276.67","","875.00","353.75"
"February","923.33","1,214.79","","1,368.33","644.38","","","865.00","387.50"
"March","1,021.46","1,320.63","2,300.00","1,396.67","721.25","","","","536.88"
"April","1,342.08","1,921.88","","1,716.67","797.50","","","1,200.00","504.38"
"May","1,509.17","2,006.25","","1,856.25","985.83","","","1,533.33","677.08"
"June","2,000.00","2,527.92","2,600.00","2,343.75","1,864.58","","","2,162.50","1,162.50"
"July","2,275.00","2,520.83","","2,440.00","1,775.00","","","","1,023.96"
"August","2,225.00","2,387.50","","2,485.83","1,662.50","","","","994.38"
"September","2,025.00","2,162.50","","2,341.67","1,347.50","1,883.33","","1,600.00","1,031.88"
"October","1,800.00","2,088.89","2,950.00","2,094.44","910.00","1,783.33","","","701.11"
"November","1,675.00","2,033.33","","2,143.75","845.00","1,725.00","","","762.50"
"December","1,812.50","1,968.33","","2,025.00","838.13","1,812.50","","1,420.00","858.75"
"Average","1,626.23","1,947.58","2,376.67","1,966.92","1,085.14","1,696.17","","1,379.40","749.56"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
"","Table 7.8  Wholesale Prices of Imported Dried Fish at Pettah (Rs/Kg)  - 2022","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya"
"January","679.38","1,090.63","1,575.00","1,317.08","","1,280.00","na","na","na"
"February","719.58","1,109.38","","1,318.75","","1,274.17","na","na","na"
"March","848.13","1,232.50","","1,322.71","700.00","1,281.25","na","na","na"
"April","1,218.75","1,815.63","","1,741.67","","1,608.33","na","na","na"
"May","1,295.83","1,914.58","","1,806.67","","1,746.67","na","na","na"
"June","1,594.17","2,375.63","","2,193.33","","2,000.00","na","na","na"
"July","1,585.83","2,362.50","","","","2,182.50","na","na","na"
"August","1,535.83","2,176.88","","2,292.50","","2,537.50","na","na","na"
"September","1,638.33","1,858.13","","2,012.50","","2,187.50","na","na","na"
"October","1,445.83","1,740.63","","2,037.50","","1,900.00","na","na","na"
"November","1,097.50","1,746.25","","1,875.00","","1,883.75","na","na","na"
"December","939.17","1,792.50","","1,866.25","","1,880.00","na","na","na"
"Average","1,216.53","1,767.94","1,575.00","1,798.54","700.00","1,813.47","na","na","na"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
"na - Not available","","","","","","","","",""
"","","","","","53","","","",""
