"","Major Fishery","Fisheries","","","","","","","","","","","","of Vessels  3.5 -","(Auction Hall)","","","",""
"","Harbour","District","Year of      
Commissione","Land Area 
(Ha)","Basin Area 
(Ha)","Break Water","Length (m)","Sub Break 
water (m)","Dredging 
Depth (m)","Quay Wall 
Length (m)","Jetty Length","Berthing","Capacity (No","5 tonnage)","Market Area 
(sq.m)","Net Mending 
Area (sq.m)","Fuel Storage 
Capacity - 
Diesel ('000 
Liters)","Water 
Storage ('000 
Liters)","Kerosene 
('000 Liters)"
"1","Negombo","Negombo","d 
2009","0.42","Lagoon","","-","-","3.0","88.0","(m)
-","","","162","421","212","36.0","50.0","-"
"2","Dikkowita","Negombo","2013","6.12","13.40","","758","378.5","3.0-6.0","610.5","349.0","","","455","437","420","115.2","250.0","-"
"3","Mutwal","Colombo","1965","0.80","1.40","","218","68.0","4.0-6.0","192.7","-","","","100","340","434","bunkering","55.0","-"
"4","Panadura","Colombo","1998","1.67","Lagoon","","670","150.0","2.5-3.0","75.5","-","","","75","171","160","36.0","25.0","18.0"
"5","Beruwala","Kalutara","1965","5.10","13.30","","385","188.0","3.0","212.0","41.0","","","530","652","544","72.0","200.0","7.4"
"6","Ambalangoda Galle","","2008","3.10","5.30","","372","188.0","3.5","117.0","-","","","150","440","256","36.0","26.0","-"
"7","Hikkaduwa","Galle","2001","1.35","4.50","","485","330.0","3.0","136.0","-","","","250","214","211","36.0","30.0","18.0"
"8","Dodanduwa","Galle","2009","1.10","1.40","","100","-","3.0","-","-","","","50","180","95","-","2,000.0","13.5"
"9","Galle","Galle","1965","1.50","3.00","","235","-","3.0-6.0","292.0","-","","","350","750","475","74.0","70.0","-"
"10","Mirissa","Matara","1966","2.44","7.00","","458","-","2.5 -4","430.0","-","","","300","223","111","53.0","18.0","14.0"
"11","Nilwella","Matara","2012","0.64","9.30","","426","-","3.0","100.0","-","","","200","153","177","36.0","12.0","18.0"
"12","Puranawella","Matara","1980","3.87","12.20","","407","276.0","3.0-5.0","284.5","-","","","350","360","278","72.0","80.0","-"
"13","Suduwella","Matara","2014","1.59","3.91","","319","193.0","3.0-6.0","100.0","-","","","-","297","213","18.0","11.4","30.0"
"14","Kudawella","Tangalle","1998","3.30","10.30","","680","-","2.5-3.0","288.0","102.0","","","400","284","256","60.0","232.0","-"
"15","Tangalle","Tangalle","1965","1.30","2.10","","208","-","2.5-3.0","263.3","-","","","100","-","178","54.0","32.0","-"
"16","Hambantota","Tangalle","2010","3.30","3.90","","278","175.0","3.5","150.0","-","","","125","290","530","36.0","12.0","13.2"
"17","Kirinda","Tangalle","1985","4.70","1.90","","542","185.0","2.5-3.0","226.0","-","","","150","291","195","24.3","50.0","24.2"
"18","Oluvil","Kalmunai","2013","45.00","21.00","","775","550.0","3.0","205.0","-","","","750","320","240","22.5","40.0","-"
"19","Valaichchanai Batticaloa","","2011","1.60","Lagoon","","-","-","3.0","275.0","-","","","400","915","320","72.0","75.0","13.5"
"20","Cod-bay","Trincomalee","1965","11.10","Lagoon","","-","-","3.0-6.0","289.0","50.0","","","700","381","136","54.0","150.0","-"
"21","Kalpitiya","Puttalam","1968","0.49","Lagoon","","-","-","2.5-5.0","126.2","57.2","","","180","300","306","36.0","50.0","36.5"
"22","Chilaw","Puttalam","2010","0.87","Lagoon","","-","-","2.5","174.5","35.8","","","250","564","444","-","-","-"
"23","Myliddy","Jaffna","2019","na","3.65","","340","na","2.5","94.0","na","","","80","na","107","22.0","80.0","22.0"
"24","Wellmankara","Puttalam","2022","4.23","6.28","","577","302.0","4.0","352.0","na","","","300","430","535","180.0","65.0","9.0"
"25","Kalametiya","Tangalle","2022","","","","310","50.0","-3.0","80.0","","","","75","","","36.0","8.0",""
"Note: Mutwal and Oluvil not operated","","","","","","","","","10","","","","","","","","","",""
