"Table 4.4: Marine Sector Fish Catch by Fisheries Districts (Mt)","","","","","","","","","","","",""
"Fisheries","","","","","","","","","","","",""
"","1983","1990","1995","2000","2005","2010","2015","2018","2019","2020","2021","2022"
"District","","","","","","","","","","","",""
"1  Negombo","19,030","16,670","30,570","34,540","16,940","28,250","36,260","30,370","27,550","24,030","24,930","20620"
"2  Colombo","2,320","2,980","2,550","3,130","560","1,990","6,770","4,650","3,270","1,460","1,580","1400"
"3  Kalutara","7,630","10,670","28,910","33,140","11,560","43,360","32,350","41,750","44,380","42,300","42,260","37850"
"4  Galle","8,590","11,780","21,430","27,830","11,210","21,830","55,240","54,100","52,950","40,460","45,305","45760"
"5  Matara","8,980","11,230","29,930","35,480","17,090","38,970","35,190","29,710","23,260","24,260","23,630","24320"
"6  Tangalle","7,330","10,240","23,260","33,470","6,220","20,170","66,100","64,230","57,500","46,100","41,205","33315"
"7  Kalmunai","10,650","7,710","7,290","9,210","7,940","16,380","18,240","18,450","12,580","8,910","8,780","7345"
"8  Batticaloa","4,460","5,920","8,360","9,860","7,650","39,610","27,790","17,850","18,300","12,600","11,710","10530"
"9  Trincomalee","13,510","9,580","9,130","13,540","6,790","36,250","24,770","34,300","28,800","20,810","25,220","16340"
"10  Mullaitivu","6,960","2,290","400","500","780","1,360","10,080","3,110","5,120","7,830","13,695","6390"
"11  Kilinochchi","na","na","na","na","1,460","560","13,800","11,190","11,670","6,910","5,365","3860"
"12  Jaffna","49,740","14,450","3,400","6,400","12,790","20,890","29,290","41,070","44,250","32,450","25,090","17715"
"13  Mannar","19,040","7,410","700","1,200","8,380","10,790","19,390","23,250","25,270","19,320","16,880","19405"
"14  Puttalam","14,860","19,190","27,020","29,730","11,670","24,830","43,790","34,660","36,440","26,120","30,990","22965"
"15  Chilaw","11,640","15,670","24,550","25,650","9,360","27,020","33,830","30,680","24,150","13,370","15,035","12795"
"Total","184,740","145,790","217,500","263,680","130,400","332,260","452,890","439,370","415,490","326,930","331,675","280,610"
