"","Table 6.2 : Export Quantity of Fish and Fishery Products ( Mt)","","","","","","","","","",""
"Exported Item","1983","1990","1995","2000","2005","2010","2015","2019","2020","2021","2022"
"Shrimps","1,720","1,855","2,781","4,855","1,800","1,262","1,341","2,115","1,781","4,747","5,486"
"Lobsters","207","165","283","164","183","166","204","229","99","196","114"
"Crabs","na","na","898","554","1,012","1,848","1,710","1,818","1,360","1,662","1,850"
"Beche de Mer","56","36","248","87","258","178","169","503","326","336","418"
"Ornamental Fish","na","na","na","na","na","na","na","na","na","na","na"
"Chank & Shells","144","na","746","698","546","617","289","275","221","306","271"
"Shark Fins","57","51","127","119","74","69","39","91","55","95","79"
"Molluscs","na","1","51","15","300","496","1,371","2,590","1,477","2,168","2,088"
"Fish Maws","na","na","1","1","1","1","2","4","2","4","7"
"Food Fish","209","821","1,978","11,873","10,960","13,372","11,807","19,885","13,858","16,130","14,959"
"Others","-","-","12","188","851","316","529","1,261","2,119","1,105","458"
"Export Quantity","2,393","2,931","7,126","18,554","15,985","18,325","17,461","28,771","21,298","26,749","25,730"
"","Source :  Custom Returns/ Statistics Unit - Ministry of Fisheries","","","","","","","","","",""
