"","Table 4.9: Inland and Aquaculture Fish Production by District (Mt)","","","","","","","","","","",""
"District","1998","2000","2005","2010","2015","2016","2017","2018","2019","2020","2021","2022"
"1 Colombo","80","110","160","120","570","910","230","90","150","360","915","990"
"2 Gampaha","360","600","690","190","310","320","480","1,000","990","1,710","1,690","1,400"
"3 Kalutara","570","590","180","100","430","620","960","2,070","2,110","2,660","1,140","850"
"4 Kandy","130","170","310","320","680","780","1,340","690","1,080","940","1,335","1,380"
"5 Matale","230","290","330","720","840","1,290","1,320","1,230","1,460","1,550","1,360","1,790"
"6 Nuwara Eliya","30","30","80","90","170","80","310","550","590","540","510","620"
"7 Galle","40","30","30","60","490","650","900","1,000","740","720","330","270"
"8 Matara","20","30","10","40","230","400","410","570","840","1,040","1,255","920"
"9 Hambantota","1,420","1,510","1,460","3,280","4,210","4,480","9,330","8,180","7,980","5,870","5,395","5,200"
"10 Jaffna","100","250","180","80","-","-","-","140","140","200","270","400"
"11 Mannar","140","230","na","220","1,350","2,190","1,710","630","1,315","1,000","1,155","1,640"
"12 Vavunia","","","290","490","1,500","2,770","2,290","400","490","700","345","770"
"13 Mullaitivu","120","270","na","10","400","650","1,800","1,230","1,140","840","805","1,340"
"14 Kilinochchi","","","na","10","490","800","1,370","1,090","925","720","695","890"
"15 Batticaloa","1,950","3,590","2,460","1,640","2,330","2,000","3,000","2,700","2,790","1,830","3,910","4,450"
"16 Ampara","970","1,290","2,270","6,140","2,710","9,690","10,430","14,110","12,480","19,060","14,230","12,300"
"17 Trincomalee","3,460","3,960","1,240","1,840","6,720","6,250","6,090","6,490","4,850","4,380","9,460","11,910"
"18 Kurunegala","2,140","2,180","2,140","4,390","2,620","5,690","3,120","3,870","4,410","6,450","6,035","8,330"
"19 Puttalam","6,430","6,490","7,210","5,820","10,620","10,700","6,480","8,660","6,810","8,390","14,800","15,280"
"20 Anuradhapura","5,190","6,690","5,640","11,920","11,940","12,990","15,760","12,940","17,840","21,850","19,325","21,800"
"21 Polonnaruwa","3,690","4,870","4,730","7,950","7,160","3,530","8,310","11,600","9,960","9,510","8,685","13,670"
"22 Badulla","590","660","820","1,240","880","470","850","1,470","2,120","2,680","1,775","2,810"
"23 Monaragala","2,140","2,750","1,870","2,950","7,770","4,200","3,140","5,240","7,550","7,440","7,435","6,115"
"24 Ratnapura","90","100","730","2,770","2,860","2,450","2,220","1,720","1,550","1,330","1,325","1,440"
"25 Kegalle","10","10","na","20","20","20","20","20","30","40","55","55"
"Total","29,900","36,700","32,830","52,410","67,300","73,930","81,870","87,690","90,340","101,810","104,235","116,620"
"Source : Statistics Unit, Ministry of Fisheries","","","","","","","","","","","",""
