"","Table 4.3:  National Fish Production** by Fishing Sub-sectors and Administrative Districts (Mt), 2020 - 2022","","","","","","","",""
"","","2020","","","2021","","","2022",""
"District","","Inland &","","","Inland &","","","Inland &",""
"","Marine","","Total","Marine","","Total","Marine","","Total"
"","","Aquaculture","","","Aquacultur","","","Aquaculture",""
"1 Colombo","1,460","360","1,820","1,580","915","2,495","1,400","990","2,390"
"2 Gampaha","24,030","1,710","25,740","24,930","1,690","26,620","20,620","1,400","22,020"
"3 Kalutara","42,300","2,660","44,960","42,260","1,140","43,400","37,850","850","38,700"
"4 Kandy","-","940","940","-","1,335","1,335","-","1,380","1,380"
"5 Matale","-","1,550","1,550","-","1,360","1,360","-","1,790","1,790"
"6 Nuwara eliya","-","540","540","-","510","510","-","620","620"
"7 Galle","40,460","720","41,180","45,305","330","45,635","45,760","270","46,030"
"8 Matara","24,260","1,040","25,300","23,630","1,255","24,885","24,320","920","25,240"
"9 Hambantota","46,100","5,870","51,970","41,205","5,395","46,600","33,315","5,200","38,515"
"10  Jaffna","32,450","200","32,650","25,090","270","25,360","17,715","400","18,115"
"11  Mannar","19,320","1,000","20,320","16,880","1,155","18,035","19,405","1,640","21,045"
"12  Vavunia","-","700","700","-","345","345","-","770","770"
"13  Mullaitivu","7,830","840","8,670","13,695","805","14,500","6,390","1,340","7,730"
"14  Kilinochchi","6,910","720","7,630","5,365","695","6,060","3,860","890","4,750"
"15  Batticaloa","12,600","1,830","14,430","11,710","3,910","15,620","10,530","4,450","14,980"
"16  Ampara","8,910","19,060","27,970","8,780","14,230","23,010","7,345","12,300","19,645"
"17  Trincomalee","20,810","4,380","25,190","25,220","9,460","34,680","16,340","11,910","28,250"
"18  Kurunegala","-","6,450","6,450","-","6,035","6,035","-","8,330","8,330"
"19  Puttalam","39,490","8,390","47,880","46,025","14,800","60,825","35,760","15,280","51,040"
"20  Anuradhapura","-","21,850","21,850","-","19,325","19,325","-","21,800","21,800"
"21  Polonnaruwa","-","9,510","9,510","-","8,685","8,685","-","13,670","13,670"
"22  Badulla","-","2,680","2,680","-","1,775","1,775","-","2,810","2,810"
"23  Monaragala","-","7,440","7,440","-","7,435","7,435","-","6,115","6,115"
"24  Ratnapura","-","1,330","1,330","-","1,325","1,325","-","1,440","1,440"
"25  Kegalle","-","40","40","-","55","55","-","55","55"
"Total","326,930","101,810","428,740","331,675","104,235","435,910","280,610","116,620","397,230"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
