Table 2:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Apr, 2024  Jan-Apr, 2025  Jan-Apr,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish ,10406.204,8445.27896,10520.5922,10214.44698,9506.31819,10253.71181,11643.30776,7513.87035,6198.18875,6777.05515,7828.64611,1580.4474,1970.473,2155.97185,36.415286582774,9.41392498146384,11.9868353029218
Dried Sprats,24873.618,24607.4227,24456.9713,22797.82765,23197.8258,24805.64512,31102.3052,25071.3505,23723.869,22759.015,27362.816,6339.243,8794.645,9065.756,43.0100723382903,3.08268270066615,50.404055168195
Maldive fish,1255.635,2216.39342,2731.68475,2674.26389,2317.74345,2520.9943,2545.2419,2187.59601,1537.67454,1714.6443,1943.2035,722.859,482.952,762.052,5.42194259184711,57.7904222365784,4.23687898163521
Canned Fish,19591.357,49016.10115,37088.75634,40613.82522,28068.09608,36805.67494,26043.65227,8758.08089,3430.9636,7904.427665,4476.04736,1004.57912,2724.54707,51.57481,-94.866028073528,-98.1070317863879,0.286747135983935
Food Fish,21094.9,33866.89974,39074.30319,27782.12863,18693.90323,18536.1379309999,12801.18403,10166.02306,3821.97519,5983.13002,11696.51502,498.69081,2585.55809,3957.61845,693.601640663881,53.0663134317744,22.0036827252428
Live fish(2),91.073,106.362,128.43604,180.61732,182.56465,185.62437,98.56476,142.64001,131.58426,135.8647,216.62275,45.2527,44.2337,74.7757,65.2403061032822,69.0469031530259,0.415740122284385
Other,1399.007,1787.1264,1692.15534,1756.95492,2496.6433,2529.1466,1574.854269,2336.69288,2892.44351,3534.03732,4827.472237,931.64369,2053.64809,1918.41514,105.91725791649,-6.58501087204282,10.6660605637368
Total,78711.794,120045.58437,115692.89916,106020.06461,84463.0947,95636.9350709999,85809.110189,56176.2537,41736.69885,48808.174155,58351.322977,11122.71572,18656.05695,17986.16395,61.7065867974913,-3.59075340408412,100
,,,,,,,,,,,,,,,,,
Table 3:  Value of Imported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Apr, 2024  Jan-Apr, 2025  Jan-Apr,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish,2440.779553,2357.25551806,3416.10456034,3807.79578,4217.654639,5257.28739,6353.206005,4871.054165,3469.980321,3510.759884,5330.572885,706.17713,1219.426059,1485.679757,110.383442607381,21.8343454311894,14.3262699326129
Dried Sprats,5863.618723,7152.593689,9036.9923555,9368.691663,9374.64975619,9520.754661,10926.718608,9118.893338,9955.459171,9010.941962,14609.979726,2142.002352,4676.612655,4113.605706,92.0448734409233,-12.0387765789853,39.6671122850148
Maldive fish,646.60409,1658.35257022,1993.8481,1624.212214,1528.04219734,1668.372523,1923.729326,1453.319352,925.709063,925.607782,1422.154246,358.176532,316.746509,521.231305,45.5235780215774,64.5578688919347,5.02618436952834
Canned Fish,5092.198892,11918.761416,9638.225181,9605.574855,8615.929668,13650.557222,10764.337708,4890.95896,2671.928159,6172.603518,3317.847295,812.329212,1903.323308,72.603376,-91.0623211713332,-96.1854417641588,0.700107514889554
Food fish,4356.755496,6763.7629022,10110.62955334,8604.74907857,7322.68758512,7410.591563,4658.603794,3401.368626,2107.85096,2744.159769,5185.861942,315.748463,1154.846817,1876.401495,494.270983038799,62.4805530377108,18.0939628427126
Live fish,117.523067,196.81875526,214.78843461,333.62701179,257.407716,287.572027,174.919406,253.002473,430.028657,368.552648,485.767281,129.421164,108.316151,177.099102,36.839367323261,63.5020265814283,1.70774995628842
Other,342.46071,681.096141,761.68164151,624.806307,1410.01302465999,1157.269198,702.803783,1091.420781,2103.214929,4001.115715,6319.552109,826.884332,2878.067492,2123.697311,156.831243357021,-26.2109968962465,20.4786130989534
Total,18859.940531,30728.64099174,35172.2698263,33969.45690936,32726.38458631,38952.404584,35504.31863,25080.017695,21664.17126,26733.741278,36671.735484,5290.739185,12257.338991,10370.318052,96.0088692597309,-15.3950293810553,100
,,,,,,,,,,,,,,,,,
Table 4:  Exported Quantity of Fish and Fishery Products (Mt),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Apr, 2024  Jan-Apr, 2025  Jan-Apr,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Live fish(2),na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na 
Prawns ,2001.279,1340.87685,1666.900124,1844.49075,1983.82503,2115.21694,1780.5468,4746.95174,5486.42846,4019.576705,3431.88697,1240.9731,1335.91695,720.39713,-41.9490132380791,-46.0747069643813,9.31482973738398
Lobsters ,300.581,204.39748,174.99682,224.39644,231.49798,229.16116,99.34371,196.23826,113.91759,126.77627,82.19368,48.9747,33.81638,42.52396,-13.1715763445207,25.7495923573133,0.549840401445418
Crabs,1872.449,1709.61148,2117.15499,1819.23406,1400.522308,1817.88852,1360.50044,1662.3696,1849.46081,1677.65806,2186.72474,611.13984,677.15643,625.67694,2.37868635761007,-7.60230394622406,8.09008520995554
Beche de mer,164.555,169.2616,136.1737,150.35972,247.53267,502.723,326.32905,335.68565,417.56933,400.77457,252.08763,89.91249,90.4156,53.27784,-40.7447841784829,-41.0745048420848,0.688889485686299
Other Moluscus,2430.612,1371.34911,1567.58363,3152.430546,3672.4951784,2590.03208,1476.54063,2167.66958,2087.85874,3115.22934,2211.17303,1166.14466,1060.78659,974.99972,-16.3911859785903,-8.08709978130473,12.6068747467068
Shark fins,31.895,38.5244,35.712,52.436,86.4029,90.87835,55.45413,95.3298,79.20546,99.74301,99.7555,28.2315,25.06964,20.5647,-27.1568992083311,-17.9697035936695,0.265904278519794
Fish maws,2.346,2.22535,1.389,6.96559,4.73322,3.5339,2.1271,3.9785,7.05021,6.87684,9.76889,2.4625,2.71795,3.14479,27.7072081218274,15.7044831582627,0.0406625487386766
Chank & shells,343.212,288.8383,297.198,354.9789,328.7558,275.11556,220.5886,305.98669,271.11582,269.29412,464.54247,107.30262,174.25753,104.4466,-2.66164982737606,-40.0619301788566,1.35050828929406
Food Fish ,18657.872,11806.72161,11101.059205,16250.33323,18031.259453,19885.11003,13857.5074,16130.22718,14959.03845,14380.213825,13450.88997,5538.74369,4976.25192,5022.71157,-9.31677197722072,0.933627371501718,64.9443218833182
Other (4),515.275,529.3298,494.868415,971.15867,2011.00559,1261.113325,2119.402395,1104.82073,458.27292,407.01093,367.24153,140.31527,128.93839,166.13005,18.397698269048,28.8445202394725,2.14808341895128
Total,26320.076,17461.13598,17593.035884,24826.783906,27998.0301294,28770.772865,21298.340255,26749.25773,25729.91779,24503.15367,22556.26441,8974.20037,8505.32738,7733.8733,-13.82103161131,-9.07024557119401,100
,,,,,,,,,,,,,,,,,
Table 5:  Value of Exported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Apr, 2024  Jan-Apr, 2025  Jan-Apr,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Live fish,1636.379826,2392.217227,1846.743819,2288.273314,2626.075505,2913.281239,2409.219008,4192.676529,7142.956877,8640.978388,7392.095498,2987.698668,2631.670929,2127.887864,-28.7783642041641,-19.1430873612846,7.60101778311271
Prawns ,3375.413208,1970.815966,2464.214591,3213.237193,3485.106051,3521.606584,3235.054829,8462.407206,13174.494356,10392.789684,8920.86623142318,3248.267063,3370.74438060768,2069.742692,-36.2816341188261,-38.5968659057183,7.3933176999216
Lobsters ,1148.130085,776.712584,656.754015,781.56231,971.330009,1002.712907,352.071745,879.042997,1060.540651,1437.278656,789.850799,541.034613,351.454752,373.194665,-31.022035183542,6.18569328662826,1.333086829066
Crabs,2617.029388,2049.607443,2623.1323,3336.066033,4315.999644,5028.569627,3068.361521,6112.657207,7796.66749,7877.548354,9056.37828852,2702.721186,3289.6594727,3245.979437,20.1004178238606,-1.32779809164105,11.5949471970179
Beche de mer,521.273605,481.479861,383.454518,494.456584,1399.865481,2272.306,1580.697116,1967.336308,3805.951377,4896.879106,3201.96457822,1364.103087,1398.149626,586.130425,-57.0318086231264,-58.0781331196379,2.09371361105164
Other Moluscus,1139.365468,738.997737,1038.245755,2648.012702,3396.796273,2287.156221,1409.392772,2228.218958,3881.887192,6084.272588846,4367.153851,2288.583594,2265.04116,1847.393814,-19.2778529548438,-18.4388413497969,6.59906636538175
Shark fins,150.720837,171.21752,133.008418,213.576217,339,500.492157,341.186741,680.233846,922.413943,1314.238947,1174.759511,428.724875,352.200258,209.734655,-51.0794294359524,-40.4501699711986,0.74919213054453
Fish maws,20.076605,6.128117,15.710576,35.878715,67.735724,77.041614,34.085018,75.970249,155.501501,238.44204,290.173692,59.611072,99.956441,64.863756,8.81159124264698,-35.1079776839994,0.231699504084151
Chank & shells,124.055736,109.285118,113.21851,147.184189,123.212658,149.177723,140.815021,201.378803,228.230841,255.031027,234.151575,103.274043,91.978881,80.155096,-22.3860191084027,-12.8548911135372,0.286321624560525
Food Fish ,23582.965735,15528.34674169,16877.448833,24689.73933931,29758.73272032,34278.033372,25498.396149,37198.397623,57528.060567,56703.468733,49731.420175783,21496.618963,18748.925050643,17013.6664257176,-20.8542215173396,-9.2552432752188,60.7744342386205
Other ,481.757686,491.26304875,649.7162256,1381.68623051,1465,1452.539135,1804.694808,1224.165631,1546.13521,1277.120541,1082.092807103,486.269081,373.906322,376.026669,-22.6710716982641,0.567079740363411,1.34320301663868
Total,34797.168179,24716.07136344,26801.6475606,39229.67282682,47948.85406532,53482.916579,39873.974728,63222.485357,97242.840005,99118.048064846,86240.9070070492,35706.906245,32973.6872729507,27994.7754987176,-21.5984288679795,-15.0996512249859,100
"Source :  Statistics Division/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,,,,,,,,,,,
Note     : (1) Fisheries sector tables are prepared by SU/MOF based on the monthly custom returns,,,,,,,,,,,,,,,,,
                 (2) Live fish weight included water (container),,,,,,,,,,,,,,,,,
                 (3) EU fish export ban (2015.01.15 - 2016.06.15),,,,,,,,,,,,,,,,,
