Table 8: Quantity of Tuna Exported by Country ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Year/ Month,Total Quantity (Mt),Exported Quantity by Countries,,,,,,,,,
,,European Union,,Other European,,U. S. A.,,Japan,,Other Non European,
,,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%
2008,6146.932,4072.538,66.2531812618067,121.14,1.97073922405519,650.723,10.586142810755,1083.345,17.6241578725777,219.186,3.56577883080535
2009,5213.986,3262.517,62.5724158062565,161.726,3.10177280874939,461.836,8.85763789929624,830.111,15.9208521081568,497.796,9.5473213775411
2010,4856.127,3137.903,64.6173998332416,160.334,3.30168465528187,286.216,5.89391504793841,787.63,16.2193039844304,484.044,9.96769647910773
2011,4330,2145,49.5381062355658,160,3.69515011547344,404,9.33025404157044,1052,24.2956120092379,569,13.1408775981524
2012,6249,2209,35.3496559449512,145,2.3203712594015,1176,18.8190110417667,2146,34.3414946391423,573,9.16946711473836
2013,13138.36,5403.64,41.1287253508048,248.8,1.89369145007444,2253.48,17.1519124152482,2130.61,16.2167119792729,3101.83,23.6089588045997
2014,15375.33,6367.22,41.4119241668309,376.33,2.44762226241648,2948.12,19.1743526805603,1044.71,6.79471595081211,4638.95,30.1713849393802
2015,9845.05,1491.47,15.1494405818152,516.74,5.2487290567341,3026.58,30.7421496081787,907.95,9.2224011051239,3902.31,39.6372796481481
2016,8863.043,1738.561,19.6158475142228,451.683,5.09625193062924,2782.79,31.3976813606794,294.28,3.32030432437257,3595.729,40.569914870096
2017,13278.9,4142,31.1923427392329,238.2,1.79382328355511,2699.3,20.3277379903456,347.2,2.61467440827177,5852.2,44.0714215785946
2018,13447.7,4936.3,36.7073923421849,601.9,4.47585832521547,2416,17.965897514073,269.1,2.00108568751534,5224.4,38.8497661310112
2019,14252.4,5199.5,36.4815750329769,745.6,5.23139962392299,2182.8,15.3153153153153,247.3,1.73514636131459,5877.2,41.2365636664702
2020,8992.26196,3575.99789,39.7675012795112,1317.22543,14.6484325730208,863.81736,9.60622993238511,164.27509,1.82684947047517,3070.94619,34.1509867446077
2021,9935.53062,4601.15171,46.3100752841321,1911.7902,19.2419536823892,457.44538,4.60413638179699,2.0329,0.0204609102196094,2963.11043,29.823373741462
2022,9317.15675,4158.6167,44.6339673312891,1831.51136,19.6574063219447,646.38577,6.93758608279291,0.05078,0.000545016053314763,2680.59214,28.7704952479199
2023,8005.73018,3114.98203,38.9094056377503,1431.47455,17.8806244754054,1134.85164,14.1754919849172,3.7961,0.0474172863017974,2320.62586,28.9870606156252
2024,4813.29307,1824.38465,37.9030452429941,697.56108,14.4923874332049,802.98097,16.6825696736559,0.0054,0.000112189304109837,1488.36097,30.9218854608411
2025 Jan - Apr,1849.46382,659.02535,35.6333193909141,285.02587,15.4112703864626,163.98038,8.8663740391526,0.33798,0.0182744856290295,741.09424,40.0707616978417
,,,,,,,,,,,
Table 9: Value of Tuna Exported by Country ,,,,,,,,,,,
Year/ Month,Total   Value (Rs.Mn),Value of Exports by Countries,,,,,,,,,
,,European Union,,Other European,,U. S. A.,,Japan,,Other Non European,
,,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%
2008,5727,5109,89.2090099528549,159,2.77632268203248,117,2.04295442640126,209,3.6493801292125,133,2.32233280949886
2009,5568,4812,86.4224137931035,227,4.07686781609195,151,2.71192528735632,218,3.91522988505747,160,2.8735632183908
2010,5260,4339,82.490494296578,208,3.95437262357414,278,5.2851711026616,241,4.58174904942966,194,3.68821292775665
2011,5119,3148,61.4963860128932,221,4.3172494627857,363,7.09122875561633,1029,20.1015823403008,358,6.99355342840399
2012,9247,3978,43.0193576295015,231,2.49810749432248,1707,18.460041094409,2738,29.6096031145236,593,6.41289066724343
2013,16594.86,9271.55,55.8700103526032,416.94,2.51246470292609,2873.12,17.3133126763347,2035.68,12.266930844852,1997.57,12.0372814232841
2014,19799.06,10747.11,54.2809103058428,623.24,3.14782620993118,4113.72,20.7773500358098,973.15,4.91513233456538,3341.84,16.8787811138509
2015,13687.86,3018.02,22.0488812714332,854.61,6.24356181316875,4969.14,36.3032643524992,808.35,5.90559809933766,4037.74,29.4986944635611
2016,13610.587816,3356.186848,24.6586473220107,801.275477,5.88714821014605,5021.995819,36.8977143889139,273.744429,2.01126088528078,4157.385243,30.5452291936485
2017,19698.1,7347.5,37.3005518298719,474.3,2.40784644204263,5409.9,27.4640701387443,367.2,1.86413918093623,6099.2,30.9633924084049
2018,22277.3,9876.9,44.3361628204495,1003.4,4.50413649769047,5352.2,24.0253531621875,564.4,2.53352066902183,5480.4,24.6008268506507
2019,24309.4,10965.9,45.1097106469102,1341.1,5.51679597192855,4954.8,20.3822389692876,266.2,1.09504965157511,6781.4,27.8962047602985
2020,17003.040458,8596.859582,50.560719438594,2502.42181,14.7174960630209,2162.943539,12.7209221453233,184.533556,1.08529739993165,3556.281971,20.9155649531302
2021,24815.990275,13866.898637,55.8788848775852,4285.75924,17.2701519967855,1517.110388,6.11343883999003,2.618523,0.0105517570364216,5143.603487,20.7269725286028
2022,37731.086315,20338.02573,53.9025713710093,6226.362703,16.5019439170632,3246.945449,8.60549156176608,0.154298,0.000408941313567902,7919.598135,20.9895842088479
2023,34624.456836,15962.93389,46.1030593652603,5366.259563,15.4984656897796,6164.429833,17.8036867471973,6.079587,0.0175586494505782,7124.753963,20.5772295483122
2024,19776.888852643,9216.704946845,46.6034117677375,2489.842564,12.5896574661047,4112.58297,20.7948934771426,0.013394,6.77255158776402e-05,3957.744977798,20.0119695634993
2025 Jan - Apr,6649.348520905,3189.659465905,47.969503416417,908.261388,13.6594041528204,878.511306,13.211990667026,0.505627,0.00760415848876549,1672.410734,25.1514976052478
"Source :  Statistics Division/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,,,,,
Note: It has considered the UK formally left the EU on 31 January 2020,,,,,,,,,,,
