Table 6 - Quantity of Exported Fish and Fishery Products by Countries ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Year/ Month,Total Volume (Mt),Exported Quantity by Countries,,,,,,,,,
,,European Union ,,Other European ,,U. S. A.,,Japan,,Non- European ,
,,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%
2008,20593.669,11536.577,56.0200176083242,527.789,2.56287017141044,1313,6.3757458663631,2221.303,10.7863392385301,4995,24.2550271153722
2009,18713.973,11017.557,58.873425755183,388.825,2.07772555833013,1427.944,7.63036261728069,2461.033,13.1507777637597,3418.61400000001,18.2677083054465
2010,18325.28,10219.808,55.7689050317376,468,2.55384910899042,1175.745,6.41597290737167,2147.727,11.7200228318476,4314,23.5412501200527
2011,18461.833,7969.69699999999,43.1685033658359,603.732,3.27016282727723,1648.911,8.93145875601844,3239.084,17.5447584213334,5000.409,27.0851166295351
2012,18631.178,6054.113,32.4945261110167,472.6,2.53660825955288,3198.662,17.1683293455733,4355.853,23.3793751527681,4549.95,24.421161131089
2013,23910.33,7822.6,32.7164033286032,403.7,1.68839158639801,3884.31,16.2453215827636,4153.17,17.3697728136751,7646.55,31.9801106885601
2014,26320.08,8447.85,32.0965969708299,547.32,2.0794769620761,4324.36,16.4298892708533,3076.85,11.6901240421762,9923.7,37.7039127540646
2015,17461.13,2064.94,11.8259242099452,673.21,3.85547785280792,4391.67,25.1511213764516,2288.61,13.1068836896581,8042.7,46.0605928711372
2016,17593.035884,2541.59507,14.4465974306996,612.805600000001,3.48322827305387,4719.2111,26.8243135017526,2052.49301,11.6665084044229,7666.93110400001,43.579352390071
2017,24826.8,5725.2,23.0605635845135,855.8,3.44708137979925,4408,17.7550066863228,2030.1,8.17705060660254,11807.7,47.5602977427619
2018,27998.1,7597,27.1339840917777,848.9,3.03199145656312,4193,14.9760162296727,2184.7,7.80302949128691,13174.5,47.0549787306996
2019,28770.8,8979.7,31.2111585357376,1034.1,3.59426918959501,3498.8,12.1609409540228,1732.7,6.02242551475802,13525.5,47.0112058058865
2020,21298.340255,6750.23231000001,31.6937011484513,2015.33924,9.46242390660877,1718.52346,8.0688139987648,1461.98414,6.8643101880053,9352.261105,43.9107507581698
2021,26749.25773,8526.93237000001,31.8772672351084,3108.31675,11.620198142971,2140.6113,8.0025072905079,2141.61856,8.0062728529402,10831.77875,40.4937544784724
2022,25729.91779,8211.46521000001,31.9140748020245,2981.92837,11.5893427811842,2172.54411,8.44364963670565,2046.3772,7.9532986335282,10317.6029,40.0996341465575
2023,24503.15367,7492.11207,30.5761134705401,2861.25701,11.6770969505984,2703.54343,11.0334509035465,1492.23996,6.08999143578403,9954.0012,40.6233472395311
2024,22556.26441,6617.63828,29.3383609968066,3108.96077,13.7831367530063,3437.98472,15.2418177828941,908.99251,4.02988940667415,8482.68813,37.6067950606188
2025 Jan - Apr,7733.8733,2732.14361,35.326976587527,935.71871,12.0989661157237,784.31533,10.1413004787653,199.34734,2.57758735199347,3082.34831,39.8551694659906
,,,,,,,,,,,
Table 7 - Value of Exported Fish and Fishery Products by Countries ,,,,,,,,,,,
Year/ Month,Total Value (Rs.Mn),Value of Exports by Countries,,,,,,,,,
,,European Union ,,Other European ,,U. S. A.,,Japan,,Non- European ,
,,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%
2008,19077.283744,13829.85268,72.4938249364228,463.820437,2.43127084140517,766.964572,4.0203027972534,1290.646055,6.76535544744896,2726,14.2892459774697
2009,21014.972463,14853.127467,70.6787862470491,428.982106,2.04131652684907,1095.683812,5.21382463826262,1951.179078,9.28470918263321,2686,12.781363405206
2010,19834.013771,12987,65.4784258493797,446.177147,2.2495554966911,1150.003559,5.79813835100518,1866.833065,9.41228077460329,3384,17.0615995283207
2011,21875.852472,11272,51.5271348370428,632.775341,2.89257454908292,1920.601335,8.77954967678756,3429.475796,15.6769927041223,4621,21.1237482329644
2012,26363.092374,10676.860244,40.4992710738662,619.584717,2.35019742073601,5100.702015,19.3478896278134,5375.506672,20.3902736285273,4590.438726,17.4123682490572
2013,31792.05,13376.65,42.075455970911,610,1.91871867337904,5623.76,17.6892021747575,4909.37,15.4421309729948,7272.27,22.8744922079577
2014,34797.17,14138.17,40.6302294123344,855.29,2.45792976842657,6880.78,19.7739643769881,4260.63,12.2441853748451,8662.3,24.8936910674058
2015,24716.07,4773.88,19.3148829890836,1096.09,4.4347260709328,7550.8,30.5501643262865,2712.43,10.9743579784327,8582.87,34.7258686352644
2016,26801.6475606,5238.913168,19.5469817896625,1091.151245,4.07120958714514,8776.55044699999,32.7463094466701,2756.627134,10.2852898418544,8938.40556660001,33.3502093346679
2017,39229.5,11052.2,28.1731859952332,1457.7,3.71582610025618,10139.9,25.8476401687506,3190,8.13163563134886,13389.7,34.1317121044112
2018,47948.7,16024.2,33.4194670554155,1496.1,3.12020972414268,11239.1,23.4398429988717,3782.7,7.88905642905856,15406.6,32.1314237925116
2019,53483,20300.1,37.9561729895481,1897.9,3.5486042293813,10181.3,19.0365162761999,2876.8,5.37890544659051,18226.9,34.0798010582802
2020,39873.974728,16118.051258,40.4224845101326,4005.394301,10.0451342719725,5203.31223,13.0493944120052,2595.980746,6.51046393972124,11951.236193,29.9725228661684
2021,63222.485357,24653.618652,38.9950165875128,7147.56317,11.3054131447691,8864.316693,14.0208292080668,4503.156286,7.12271316221106,18053.830556,28.5560278974403
2022,97242.840005,37905.585767,38.9803359970266,10447.934742,10.7441686621481,12829.748694,13.1935150118408,6606.699634,6.79402168186398,29452.871168,30.2879586471206
2023,99118.048064846,34157.39163,34.4613239433985,10508.291073846,10.601793799421,17691.268558,17.848685384145,4669.937347,4.71149042800438,32091.159456,32.3767064450311
2024,86240.9070070492,30459.804571985,35.3194390331438,10635.9822929432,12.3328738786036,17894.822081,20.7498073733586,3076.226701,3.56701570955017,24174.071360121,28.0308640053438
2025 Jan - Apr,27994.7754987176,11248.4859837175,40.1806615103338,3080.193006,11.0027423014737,5124.89202,18.3066016022696,684.063891,2.44354126373093,7857.140598,28.066453322192
"Source :  Statistics Division/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,,,,,
Note: It has considered the UK formally left the EU on 31 January 2020,,,,,,,,,,,
