"","Table 4.12:  Shrimps Production (Aquaculture)","","","","","","","","",""
"District","Description","2008","2010","2014","2015","2019","2020","2021","2022","2023"
"","No. of Farms","na","na","na","na","na","na","na","na","na"
"","No. of Ponds","1,795","2,350","4,235","4,184","3,264","2,493","2,911","2,769","2,410"
"Puttalam","","","","","","","","","",""
"","Area (Ha)","902","1,186","2,038","2,011","1,626","1,328","1,739","1,938","1,368"
"","Production (Mt)","2,230","3,319","4,850","6,702","5,437","6,240","12,440","11,576","9,115"
"","No. of Farms","na","na","na","na","66","48","na","na","49"
"","No. of Ponds","-","18","224","","178","169","327","185","178"
"Batticaloa","","","","","","","","","",""
"","Area (Ha)","-","38","205","","110","101","193","105","137"
"","Production (Mt)","-","161","300","388","421","375","1,040","1,124","1,386"
