"","Source: Statistics Unit, Ministry of Fisheries","","","","",""
"","Table 7.10  Retail Prices of Imported  Dried Fish at Colombo and Suburbs Markets (Rs/Kg) -2023","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa"
"January","1,387.50","2,791.67","","2,604.17","","2,623.33"
"February","1,395.63","2,879.17","","2,693.75","","2,554.17"
"March","1,312.50","2,733.33","","2,550.00","","2,543.75"
"April","1,252.50","2,704.17","","2,431.25","","2,437.50"
"May","1,261.67","2,775.83","","2,512.50","","2,456.25"
"June","1,325.00","2,887.50","","2,487.50","","2,406.25"
"July","1,384.17","2,890.00","","2,350.00","","2,462.50"
"August","1,369.17","2,800.00","","2,562.50","","2,668.75"
"September","1,300.00","2,681.67","","2,675.00","","2,420.00"
"October","1,321.67","2,725.00","","2,675.00","","2,500.00"
"November","1,333.33","2,637.50","","2,625.00","","2,391.25"
"December","1,329.17","2,687.50","","2,450.00","","2,393.75"
"Average","1,331.03","2,766.11","","2,551.39","","2,488.13"
"Source: Statistics Unit, Ministry of Fisheries","","","","","",""
