"Fisheries Indicators","","","","","",""
"Description","Unit","2019","2020","2021","2022","2023"
"1 Contribution to GDP(1) at Current Market Prices","%","1.3","1.1","1.1","1.2","1.1"
"a. Marine fishing","%","1.1","0.9","0.9","1.0","0.9"
"b. Inland fishing","%","0.2","0.2","0.2","0.2","0.2"
"2 Contribution to GDP(1) at Constatnt Prices (2015)","%","1.2","1.1","1.0","1.0","1.1"
"a. Marine fishing","%","1.1","0.9","0.9","0.8","0.9"
"b. Inland fishing","%","0.2","0.2","0.2","0.2","0.2"
"Growth Rate of Fisheries Contribution to GDP (at Current Market","","","","","",""
"3
Prices)","%","9.5","-15.6","8.9","31.5","10.1"
"a. Marine fishing","%","11.1","-20.3","10.0","49.6","-4.1"
"b. Inland fishing","%","0.9","13.7","4.1","29.9","16.4"
"Growth Rate of Fisheries Contribution to GDP (at Constant Prices-","","","","","",""
"4
2015)","%","-4.4","-17.0","1.5","-4.6","0.6"
"a. Marine fishing","%","-5.4","-21.4","1.4","-15.4","8.1"
"b. Inland fishing","%","3.0","12.7","2.4","11.9","0.8"
"5  Per capita fish production","Kg/year","23.2","19.6","19.7","17.9","18.4"
"a. Marine fishing","Kg/year","19.1","14.9","15.0","12.7","13.3"
"b. Inland fishing","Kg/year","4.1","4.6","4.7","2.5","5.1"
"7 Percapita fish consumption (All Sectors) (2)","g/day","45.4","41.4","38.4","32.5","34.3"
"8 Percapita fish consumption (All Sectors) (2)","Kg/year","16.6","15.1","14.01","11.9","12.5"
"9 Per capita Fish Consumption (Household Sector) (3)","Kg/year","3.2","na","na","na","na"
"a. Large fish (Marine)","Kg/year","1.4","na","na","na","na"
"b. Small fish (Marine)","Kg/year","1.2","na","na","na","na"
"c. Inland fish","Kg/year","0.5","na","na","na","na"
"d. Other fish","Kg/year","0.1","na","na","na","na"
"10
Per capita  Consumption of Perpared Fish (Household Sector) (3)","","","","","",""
"a. Canned fish","Kg/year","0.9","na","na","na","na"
"b.  Dried fish","Kg/year","1.0","na","na","na","na"
"11
Fish Contribution to Animal Nutrition Intake (4)","","","","","",""
"a. Calorie Intake","%","34.5","34.7","33.7","22.8","33.6"
"b. Protein Intake","%","50.0","52.4","50.0","41.0","50.0"
"c. Fat Intake","%","22.2","20.0","18.8","10.2","23.1"
"12
Household Expenditure Contribution to Food Basket  (3)","","","","","",""
"a. Fish","%","8.6","na","na","na","na"
"-  Marine","%","7.7","na","na","na","na"
"-  Inland","%","0.9","na","na","na","na"
"c. Canned fish","%","0.8","na","na","na","na"
"b. Dried fish","%","4.0","na","na","na","na"
"-  Marine","%","3.9","na","na","na","na"
"-  Inland","%","0.1","na","na","na","na"
"13 Contribution to National Export Earnings","%","1.5","2.2","2.6","2.3","2.3"
"14 Contribution of Tuna to Total Exports of F & FP in Volume (5)","%","49.5","42.2","37.1","36.2","34.9"
"15 Fishermen per Household (Marine fishing)","Number","1.2","1.2","1.2","1.2","1.2"
"16 Fishermen per Household (Inland fishing)","Number","1.1","1.1","1.1","1.1","1.1"
"","(1) National Accounts of Sri Lanka - Revised base year (2010) estimates (by production, income and expenditure approaches)","","","","",""
