"Source  : Statistics Unit, Ministry of Fisheries","","","","","",""
"Note     : Retail prices at Maharagama, Kirulapone, Wellampitiya, Dematagoda, Battaramulla and Nugegoda retail markets","","","","","",""
"","Table 7.2: Annual Average Wholesale Prices of Fresh Fish at Main Fish Market in Colombo** -  (Rs/Kg)","","","","",""
"","Wholesale","2019","2020","2021","2022","2023"
"1","Salaya/Sardinella","193.00","236.00","196.00","452.00","417.00"
"2","Hurulla/ Herrings","374.00","420.00","447.00","692.00","673.00"
"3","Balaya/ Skipjack tuna","359.00","341.00","409.00","723.00","825.00"
"4","Kelawalla/ Yellowfin tuna","613.00","576.00","687.00","1,232.00","1,257.00"
"5","Thora/ Seer","1,385.00","1304.00","1,099.00","1,781.00","1,972.00"
"6","Para/ Travelly","574.00","625.00","652.00","1,166.00","1,213.00"
"7","Mora/ Sharks","602.00","584.00","628.00","977.00","1,037.00"
"8","Thalapath/ Sail fish","696.00","701.00","970.00","1,608.00","1,731.00"
"9","Kumbalawa/ Indian mackerel","474.00","505.00","464.00","802.00","858.00"
"10","Gal malu/ Rock fish","467.00","610.00","697.00","1,182.00","1,242.00"
"11","Issa/ Prawns","923.00","996.00","878.00","1,235.00","1,386.00"
"12","Theppili/ Thilapia","355.00","378.00","395.00","507.00","480.00"
"","US$/Rs","178.78","185.52","198.88","363.10","327.53"
