"","Summary Statistics at a Glance","","",""
"Description
Unit","","Indicator","",""
"6.7
Inland Fishing Household Population
Numbers","318,730","320,060","343,116","323,370"
"6.8
Direct and Indirect Employments (Marine & Inland)
Numbers","586,000","586,000","586,000","586,000"
"6.9
Fishing and Related Livelihoods
Million","2.7","2.7","2.7","2.7"
"6.10
Fisher Organizations (FO) - Marine
Numbers","1,000","1,025","1,038","1,042"
"6.11
Fisher Organizations (FO) - Inland
Numbers","445","463","490","493"
"6.12
No. of Memberships in FO - Marine
Numbers","84,321","84,933","86,804","86,908"
"6.13
No. of Memberships in FO - Inland
Numbers","21,550","21,884","19,077","19,117"
"7. Fish Trade and Processing","2020","2021","2022","2023"
"7.1
Fish Processing Plants (EU Approved)
Numbers","31","39","38","44"
"7.2
Fish Packing Centers
Numbers","16","17","18","22"
"7.3
Fish Processing Plants (Other)
Numbers","14","16","12","13"
"Rs.Mn","39,874","63,222","97,243","99,118"
"Annual Export Earnings
7.4","","","",""
"US$ (million)","215","318","302","303"
"7.5
Annual Export Volume
Mt","21,298","26,749","25,730","24,503"
"Rs.Mn","35,504","25,080","21,664","26,734"
"7.6
Annual Import Expenditure","","","",""
"US$ (million)","191","126","70","82"
"7.7
Annual Import Volume
Mt","85,809","56,176","41,737","48,808"
"Rs.Mn","4,370","38,142","75,579","72,384"
"7.8
Balance of Fish Trade (8)","","","",""
"US$ (million)","24","192","232","221"
"Mt","8,992","9,936","9,317","8,006"
"7.9
Volume of Tuna Export","","","",""
"Percentage","42.2","37.1","36.2","32.6"
"Rs.Mn.","17,003","24,816","37,731","34,624"
"7.10
Value of Tuna Export","","","",""
"Percentage","42.6","39.3","38.8","34.9"
"Mt","6,750","8,527","8,211","7,492"
"7.11
Total Fish and Fishery Products Export to EU","","","",""
"Percentage","31.7","31.9","31.9","30.6"
"Mt","3,576","4,601","4,159","3,115"
"7.12
Tuna Export to EU","","","",""
"Percentage","39.8","46.3","44.6","38.9"
"8.  Other Selected Imports
Unit","2020","2021","2022","2023"
"8.1
Imports of frozen mackerel For canned fish industry
Mt","3,948.0","5,408.7","2,131.0","3,261"
"Value of imported frozen mackerel 
Rs.Mn.","898.3","1,378.3","741.0","1,135"
"8.2
Imports of baits for multiday fishery 
Mt","3,604.9","2,199.0","26.8","26.5"
"Value of imported baits
Rs.Mn.","839.9","522.1","14.8","16.3"
"9.  Supply of Fishery Products
Unit","2020","2021","2022","2023"
"9.1
Supply of Dried fish
Mt","102,506","83,925","52,882","51,876"
"Imported volume
Mt","42,746","32,585","29,922","29,536"
"Domestically produced volume
Mt","59,760","51,340","22,960","22,340"
"9.2
Supply of Canned fish
Mt","30,073","18,009","9,259","19,707"
"Imported volume
Mt","26,044","8,758","3,431","7,904"
"Domestically produced volume
Mt","4,029","9,251","5,828","11,803"
"Millions of cans 
Domestically produced volume","","","",""
"","10.0","21.8","13.9","29.2"
"No of  local canned fish manufactureing companiesNumbers","9","10","12","16"
