"","Table 6.10  Supply of Dried Fish","","","",""
"","Local","","Imported (2)","","Total Dried"
"Year","","","","",""
"","Production (1)","","","","Fish"
"","","Sprats","Other","Total",""
"1995","12,000","14,676","30,123","44,799","56,799"
"2000","24,360","19,133","31,417","50,550","74,910"
"2005","7,560","21,516","23,092","44,607","52,167"
"2010","46,570","27,304","18,477","45,781","92,351"
"2011","52,230","27,593","19,589","47,182","99,412"
"2012","61,320","25,181","14,251","39,433","100,753"
"2013","68,200","23,471","14,138","37,610","105,810"
"2014","71,810","24,874","10,406","35,280","107,090"
"2015","57,450","24,607","8,445","33,053","90,503"
"2016","64,720","24,457","10,521","34,978","99,698"
"2017","60,190","22,798","10,214","33,012","93,202"
"2018*","61,250","23,198","9,506","32,704","93,954"
"2019*","54,880","24,806","10,254","35,059","89,939"
"2020","59,760","31,102","11,643","42,746","102,505"
"2021","51,340","25,071","7,514","32,585","83,925"
"2022","22,960","23,724","6,198","29,922","52,882"
"2023","22,340","22,759","6,777","29,536","51,876"
"Source: Statistics Unit, Ministry of Fisheries","","","","",""
