"Table 7.7","Wholesale prices  of Local Driedfish  at pettah","","","","(Rs/Kg)  - 2023","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya"
"January","1675.00","1971.25","","1925.00","885.63","1787.50","","1350.00","865.83"
"February","1493.75","1959.38","","1865.00","927.50","1822.50","","","1004.17"
"March","1412.50","1862.50","","1777.50","952.92","1698.75","","","950.00"
"April","1329.17","1831.88","","1752.50","971.25","1655.00","","","750.00"
"May","1289.58","1862.50","","1753.75","1075.00","1576.67","","","725.00"
"June","1262.50","1880.83","","1817.50","1600.25","","","","835.42"
"July","1425.00","1775.00","","1950.00","1634.38","","","","878.75"
"August","1500.00","1750.00","","1901.25","1425.00","","","","678.75"
"September","","1837.50","","1807.50","1157.50","","","","383.33"
"October","1233.33","1550.00","2650.00","1800.00","1033.75","","","","503.75"
"November","1200.00","1450.00","2475.00","1825.00","889.58","","","","420.00"
"December","","1700.00","2500.00","1662.50","905.83","","","","487.50"
"Average","1382.08","1785.90","2541.67","1819.79","1121.55","1708.08","","1350.00","706.88"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
"","Table 7.7  Wholesale Prices of Imported Dried Fish at Pettah (Rs/Kg)  - 2023","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya"
"January","971.67","1,814.38","2,716.67","1,805.00","","1,842.50","","",""
"February","964.17","1,841.25","2,707.50","1,711.67","","1,752.50","","",""
"March","876.67","1,733.33","2,660.00","1,631.25","","1,687.50","","",""
"April","855.83","1,719.38","2,617.50","1,542.50","","1,601.67","","",""
"May","910.83","1,798.13","2,712.50","1,622.92","","1,603.33","","",""
"June","969.79","1,793.75","2,875.00","1,781.25","","1,689.38","","",""
"July","1,069.17","1,762.50","","1,806.67","","1,734.38","","",""
"August","908.54","1,685.63","","1,721.25","","1,592.50","","",""
"September","911.25","1,546.88","3,200.00","1,725.00","","1,544.38","","",""
"October","954.38","1,431.25","","1,626.25","","1,521.88","","",""
"November","923.75","1,297.50","","1,711.25","","1,510.63","","",""
"December","1,025.63","1,290.00","","1,712.50","","1,605.83","","",""
"Average","945.14","1,642.83","2,784.17","1,699.79","","1,640.54","","",""
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
"na - Not available","","","","","","","","",""
"","","","","53","","","","",""
