"","Table 7.8  Wholesale Prices of Imported Dried Fish at Pettah (Rs/Kg)  - 2022","","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya",""
"January","679.38","1,090.63","1,575.00","1,317.08","","1,280.00","na","na","","na"
"February","719.58","1,109.38","","1,318.75","","1,274.17","na","na","","na"
"March","848.13","1,232.50","","1,322.71","700.00","1,281.25","na","na","","na"
"April","1,218.75","1,815.63","","1,741.67","","1,608.33","na","na","","na"
"May","1,295.83","1,914.58","","1,806.67","","1,746.67","na","na","","na"
"June","1,594.17","2,375.63","","2,193.33","","2,000.00","na","na","","na"
"July","1,585.83","2,362.50","","","","2,182.50","na","na","","na"
"August","1,535.83","2,176.88","","2,292.50","","2,537.50","na","na","","na"
"September","1,638.33","1,858.13","","2,012.50","","2,187.50","na","na","","na"
"October","1,445.83","1,740.63","","2,037.50","","1,900.00","na","na","","na"
"November","1,097.50","1,746.25","","1,875.00","","1,883.75","na","na","","na"
"December","939.17","1,792.50","","1,866.25","","1,880.00","na","na","","na"
"Average","1,216.53","1,767.94","1,575.00","1,798.54","700.00","1,813.47","na","na","","na"
