"","Table 6.6: Quantity of Exported Fish and Fishery Products by Countries","","","","","","","","","",""
"","","","","","","Exported Quantity by Countries","","","","",""
"","Total","","","","","","","","","",""
"","","European Union","","Other European","","U. S. A.","","Japan","","Other Non European",""
"Year","Quantity","","","","","","","","","",""
"","","Quantity","","Quantity","","Quantity","","Quantity","","Quantity",""
"","(Mt)","","","","","","","","","",""
"","","","%","","%","","%","","%","","%"
"","","(Mt)","","(Mt)","","(Mt)","","(Mt)","","(Mt)",""
"2008","20,594","11,537","56.0","528","2.6","1,313","6.4","2,221","10.8","4,995","24.3"
"2010","18,325","10,220","55.8","468","2.6","1,176","6.4","2,148","11.7","4,314","23.5"
"2015","17,461","2,065","11.8","673","3.9","4,392","25.2","2,289","13.1","8,043","46.1"
"2016","17,593","2,542","14.4","613","3.5","4,719","26.8","2,052","11.7","7,667","43.6"
"2017","24,827","5,725","23.1","856","3.4","4,408","17.8","2,030","8.2","11,808","47.6"
"2018","27,998","7,597","27.1","849","3.0","4,193","15.0","2,185","7.8","13,175","47.1"
"2019","28,771","8,980","31.2","1,034","3.6","3,499","12.2","1,733","6.0","13,526","47.0"
"2020","21,298","6,750","31.7","2,015","9.5","1,719","8.1","1,462","6.9","9,352","43.9"
"2021","26,749","8,527","31.9","3,108","11.6","2,141","8.0","2,142","8.0","10,832","40.5"
"2022","25,730","8,211","31.9","2,982","11.6","2,173","8.4","2,046","8.0","10,318","40.1"
"Source :  Custom Returns/ Statistics Unit -  Ministry of Fisheries","","","","","","","","","","",""
