"Table 4.5: Marine Sector Fish Catch by Major Commercial Groups (Mt)","","","","","","","","","","","","",""
"","Commercial Groups","","1983","1990","1995","2000","2005","2010","2015","2019","2020","2021","2022"
"1","Thora","Seer","3,510","3,210","2,990","3,130","2,970","10,200","8,940","7,740","7,360","4,880","3,675"
"2","Paraw","Travelly","11,590","8,040","8,910","10,450","5,950","16,740","34,050","21,070","13,610","12,910","9,810"
"3","Balaya","Skipjack tuna","13,570","12,230","33,550","49,110","28,040","66,910","54,040","47,230","46,520","48,770","46,120"
"4","Kelawalla","Yellowfin tuna","9,280","8,410","26,050","29,320","17,030","45,450","46,430","44,760","37,930","31,190","29,890"
"","Tuna like fishes","","","","","","","48,930","46,930","44,710","39,680","38,790","29,510"
"5","","Other blood fish","16,320","9,190","17,640","27,890","16,560","","","","","",""
"6","Thalapath","All Bill fishes","***","***","***","***","***","***","26,040","32,200","14,950","12,150","8,120"
"7","Mora / Maduwa","Shrks/Sketes","19,160","14,830","22,120","28,790","6,430","13,290","5,860","14,240","10,290","8,730","6,105"
"8","Gal Malu","Rock fish","7,920","6,780","10,450","14,910","10,570","20,150","34,960","27,950","18,060","16,320","12,470"
"9","Shore seine varieties Small fishes","","81,780","67,920","60,610","76,250","24,870","77,210","136,790","119,500","96,470","115,040","103,585"
"10","Issa","Shrimps","4,460","4,470","8,000","7,540","4,680","17,640","20,090","16,930","12,770","11,340","7,280"
"11","Pokirissa","Lobsters","610","630","950","1,150","240","890","630","470","155","250","160"
"12","Kakuluwa","Crabs","**","**","**","**","**","6,260","9,670","13,600","8,100","8,330","6,890"
"","","Other marine","","","","","","","","","","",""
"13 Others","","","16,540","10,080","26,230","15,140","13,060","8,590","28,460","25,090","21,035","22,975","16,995"
"","","varieties","","","","","","","","","","",""
"","Total","","184,740","145,790","217,500","263,680","130,400","332,260","452,890","415,490","326,930","331,675","280,610"
