"Table 5.4:  Production of Fish Fingerlings (Mn)","","","","","","","",""
"Source of Production","2010","2015","2016","2018","2019","2020","2021","2022"
"Aquaculture Centres","","","","","","","",""
"Iginiyagala","6.49","10.34","10.40","9.86","3.67","4.95","7.36","7.90"
"Dambulla","2.29","13.36","7.50","9.30","6.54","9.01","7.79","5.86"
"Udawalawe","4.50","12.28","13.41","15.55","7.80","6.22","7.63","9.89"
"Carp centre","3.36","4.08","5.96","6.50","3.35","2.40","4.21","5.23"
"Thilapia centre","1.14","8.20","7.45","8.91","3.18","1.96","2.35","2.37"
"Udawalawe (Carp)-New","","","","0.14","1.27","1.86","1.07","2.29"
"Nuwara - Eliya","0.20","0.24","0.33","0.18","0.22","0.17","0.37","0.53"
"Kalawewa","0.26","1.84","3.93","7.01","3.44","3.78","4.26","7.16"
"Polonnaruwa","-","1.35","-","-","-","-","-","-"
"Iranamadu","-","0.38","0.64","2.01","3.92","3.76","4.51","5.47"
"Muruthawela","-","-","1.42","4.29","2.51","2.64","3.15","4.26"
"Sewanapitiya","","","","","1.08","5.81","7.06","6.64"
"Sub-Total","13.74","39.79","37.63","48.20","29.18","36.34","42.14","47.71"
"Other","","","","","","","",""
"Community based Mini -","","","","","","","",""
"","8.03","7.24","10.34","16.74","15.03","12.07","17.23",""
"Hatcheries","","","","","","","","20.90"
"Water bassed Mini- Hatcheries","","","","0.46","0.04","0.42","0.22",""
"","","","","","","","","-"
"Private  Ponds","11.70","5.84","4.00","7.12","14.26","15.14","26.75","47.00"
"Pens & Cages","1.40","2.40","18.12","38.79","30.09","31.91","25.24","29.82"
"Sub-Total","21.13","15.48","32.46","63.11","59.42","59.54","69.45",""
"","","","","","","","","97.72"
"Total","34.87","#REF!","#REF!","#REF!","#REF!","#REF!","111.59","145.43"
