"Table 5.2:  Stocking of  Post Larve  ( Freshwater  Prawns)","","","","","","","","",""
"Type of Water body","2013","2014","2015","2017","2018","2019","2020","2021","2022"
"Major Reservoirs","","","","","","","","",""
"No. of Tanks","17","13","20","34","30","29","23","33","21"
"Area (ha)","32,025","32,272","48,401","68,452","57,953","53,855","39,909","69,665","47,687"
"Stocks (Mn)","9.64","5.32","8.78","21.94","22","31.27","41.8","15.4","16.7"
"Beneficiaries/ Fishermen","3,122","2,387","4,670","7,880","na","5,198","4,075","6,036","4,500"
"Medium Reservoirs","","","","","","","","",""
"No. of Tanks","30","19","36","49","48","38","33","59","46"
"Area (ha)","10,976","6,544","13,244","16,824","17,780","14,525","11,716","21,620","17,420"
"Stocks (Mn)","5.19","2.10","6.54","17.54","25","17.97","19.9","17.13","19.60"
"Beneficiaries/ Fishermen","2,000","1,260","2,601","3,590","na","2,241","1,930","3,474","3,000"
"Minor Reservoirs","","","","","","","","",""
"No. of Tanks","62","18","51","114","132","114","75","142","80"
"Area (ha)","5,145","1,490","3,589","7850","9438","6783","7,050","8,600","7,150"
"Stocks (Mn)","4.86","2.16","5.34","17.23","23","16.07","13.90","17.16","10.1"
"Beneficiaries/ Fishermen","1,540","440","1,050","2320","na","2004","1,377","2,600","1,500"
"Seasonal Tanks","","","","","","","","",""
"","64","","10","1","3","1","6","4","1"
"No. of Tanks","","na","","","","","","",""
"Area (ha)","832","na","130","12","30","12","58","40","12"
"Stocks (Mn)","0.59","na","0.14","0.1","0.1","0.02","0.1","0.21","0.01"
"Beneficiaries/ Fishermen","768","na","110","15","na","15","60","40","15"
"Ponds","","","","","","","","",""
"No. of Ponds","40","48","43","73","36","51","33","7","9"
"Area (ha)","2","2.40","2.15","4","2","2.7","6.8","1.5","1.6"
"Stocks (Mn)","0.15","0.22","0.40","0.33","0","0.47","0.4","0.08","0.18"
"Beneficiaries/ Fishermen","40","48","43","73","36","51","33","7","9"
"Other","","","","","","","","",""
"No of Units","na","na","na","na","8","2","6","9","10"
"","","","","","","","423","",""
"Area (ha)","na","na","na","na","na","na","","na",""
"Stocks (Mn)","","","1.07","3.7","3","0.115","1.5","2.18","1.2"
"Beneficiaries/ Fishermen","na","na","na","na","na","na","62","na",""
"Total","","","","","","","","",""
"No. of Tanks/Ponds","213","98","160","271","257","235","176","254","167"
"Area (ha)","48,980","40,308","65,366","93,142","85,203","75,178","59,163","99,927","72,271"
"Stocks (Mn)","20.28","9.80","22.27","60.84","73.10","65.92","77.60","52.16","47.70"
"Beneficiaries/ Fishermen","7,470","4,135","8,474","13,878","36","9,509","7,537","12,157","9,024"
"Source :  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","",""
