"","Centers of NAQDA, 2010-2022(Mn)","","","","","","","","","","",""
"Variety","2007","2008","2009","2010","2015","2017","2018","","2019","2020","2021","2022"
"Fish Fingerlings","","","","","","","","","","","",""
"Tilapia","1.8","3.3","7.8","7.9","24.4","21.2","24.3","","16.6","16.6","13.9","19.8"
"Carp","0.6","3.0","7.4","6.7","5.9","1.9","3.5","","2.6","4.4","3.8","4.5"
"Catla/Rohu","2.6","6.6","12.2","18.9","16.2","10.5","11.0","","5.6","11.8","17.2","15.2"
"Hirikanaya","-","-","0.5","1.3","0.3","0.4","0.1","-","","0.3","0.1","0.5"
"Milk Fish","-","-","-","-","-","-","","","-","-","-","-"
"Mirigal","-","-","-","-","-","4.1","9.3","","4.4","3.2","5.8","7.7"
"Other","0.4","0.4","-","-","8.5","-","","","","-","1.4","0.4"
"Total","5.3","13.3","27.9","34.9","55.3","38.1","48.2","","29.2","36.3","42.1","48.1"
"Post Larvae","","","","","","","","","","","",""
"Freshwater Prawns","0.3","4.2","8.8","13.0","23.7","41.4","51.1","","65.9","77.7","52.4","47.7"
"Shrimps*(1)","","","","","484.0","478.4","519.9","","428.0","398.0","192.3","86.5"
"Shrimps*(2)","","","","","","","","","42.1","289.0","544.2","651.2"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","",""
