"","Table 1.2:  Information of Perennial Tanks by Districts - 2018","","","","","","","","","","","","",""
"","","","","2017","","","","","","","2018","","",""
"","District","","Tanks","","","Area","Landing","","Tanks","","","","","Landing"
"","","","","","","","","","","","","","Area (Ha)",""
"","","Major","Medium Minor","","Total","(Ha)","Sites","Major","Mediu Minor","","","Total","","Sites"
"1","Colombo","-","-","12","12","117","6","-","-","12","","12","120","5"
"2","Gampaha","-","-","50","50","122","36","-","-","50","","50","95","36"
"3","Kalutara","1","-","24","25","1,490","20","1","-","24","","25","1,410","22"
"4","Kandy","1","-","59","60","2,918","51","1","-","59","","60","2,720","51"
"5","Matale","1","4","59","64","7,156","46","1","4","59","","64","6,000","48"
"6","Nuwara Eliya","1","3","31","35","4,256","39","1","3","44","","48","4,300","39"
"7","Galle","-","-","7","7","27","7","-","-","7","","7","25","5"
"8","Matara","-","-","34","34","952","34","-","-","35","","35","970","35"
"9","Hambantota","3","6","85","94","9,685","79","3","6","85","","94","9,685","79"
"10","Jaffna","-","-","-","-","-","-","-","-","-","","-","-",""
"11","Mannar","1","3","39","43","5,360","10","1","3","39","","43","6,360","10"
"12","Vavunia","1","4","33","38","3,166","24","1","4","32","","37","4,220","24"
"13","Mulathivu","2","5","26","33","9,849","33","2","5","36","","43","10,600","33"
"14","Killinochchi","2","2","22","26","5,895","10","2","2","22","","26","5,600","9"
"15","Batticaloa","2","5","53","60","6,310","22","2","5","53","","60","5,620","22"
"16","Ampara","6","13","120","139","25,024","88","6","13","120","","139","23,030","88"
"17","Trincomalee","2","4","94","100","10,709","80","2","4","94","","100","9,360","80"
"18","Kurunegala","2","9","38","49","9,120","66","2","9","43","","54","9,200","66"
"19","Puttalam","-","5","43","48","4,933","39","","5","42","","47","4,900","39"
"20","Anuradhapura","10","12","100","122","26,980","159","10","12","100","","122","25,100","169"
"21","Polonnaruwa","5","3","117","125","19,872","92","5","3","117","","125","19,870","92"
"22","Badulla","1","5","44","50","5,150","41","1","6","44","","51","5,430","44"
"23","Monaragala","1","6","86","93","6,938","80","1","6","86","","93","7,810","84"
"24","Ratnapura","1","2","41","44","5,230","12","1","2","41","","44","4,940","24"
"25","Kegalle","-","-","19","19","12","19","43","","19","","19","20","19"
"Total","","43","91","1,236","1,370","171,271","1,093","43","92","1,263","","1,398","167,385","1,123"
"Source : National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","","","",""
