"Table 4.5: Marine Sector Fish Catch by Major Commercial Groups (Mt)","","","","","","","","","","",""
"","Commercial Groups","","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Thora","Seer","10,200","12,160","14,390","25,650","30,000","8,940","7,440","7,790","7,670"
"2","Paraw","Carangids","16,740","18,570","24,580","25,160","29,270","34,050","32,620","23,690","22,290"
"3","Balaya","Skipjack tuna","66,910","55,230","53,410","73,350","61,750","54,040","47,730","57,960","55,000"
"4","Kelawalla","Yellowfin tuna","45,450","44,320","42,780","45,760","45,200","46,430","39,600","38,960","41,690"
"","","Other tuna like","","","","","","","","",""
"","Other Blood Fish","","48,930","40,460","40,640","50,200","59,190","46,930","38,750","44,520","51,900"
"5","","species","","","","","","","","",""
"6","Thalapath","(Other bill fish)","***","***","***","***","***","26,040","32,530","33,180","32,680"
"7","Mora / Maduwa","Shrks/Sketes","13,290","10,620","9,230","8,030","7,440","5,860","8,980","13,620","13,500"
"8","Rock Fish","Mullets","20,150","28,390","34,680","35,450","34,890","34,960","33,920","31,100","29,060"
"9","Shore S/ V","Small fishes","77,210","119,810","135,460","118,560","108,420","136,790","153,180","143,250","132,160"
"10","Issa","Prawns","17,640","22,680","26,730","29,230","23,940","20,090","19,720","17,620","16,970"
"11","Pokirissa","Lobsters","890","1,620","1,960","1,890","1,480","630","960","540","570"
"12","Kakuluwa","Crabs","6,260","8,390","10,620","9,370","6,450","9,670","11,920","11,510","12,830"
"13","Others","Other marine","8,590","23,020","22,740","23,280","51,270","28,460","29,640","25,700","23,050"
"","Total","","332,260","385,270","417,220","445,930","459,300","452,890","456,990","449,440","439,370"
"","Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","",""
