"Fisheries Indicators","","","","","",""
"Description","Unit","2014","2015","2016","2017","2018"
"1 Contribution to GDP(1) at Current Market Prices","%","1.6","1.4","1.4","1.3","1.4"
"a. Marine fishing","%","1.4","1.3","1.3","1.2","1.2"
"b. Inland fishing","%","0.2","0.1","0.1","0.1","0.2"
"2 Contribution to GDP(1) at Constatnt Prices (2010)","%","1.5","1.3","1.3","1.3","1.2"
"a. Marine fishing","%","1.3","1.2","1.2","1.1","1.0"
"b. Inland fishing","%","0.2","0.1","0.2","0.2","0.2"
"Growth Rate of Fisheries Contribution to GDP (at Current Market Prices)","","","","","",""
"3","%","5.2","1.9","7.0","2.4","10.9"
"a. Marine fishing","%","3.9","2.6","8.4","-0.1","8.7"
"b. Inland fishing","%","19.2","-4.6","-6.5","30.0","30.1"
"Growth Rate of Fisheries Contribution to GDP (at Constant Prices-2010)","","","","","",""
"4","%","3.7","-2.7","1.2","-0.5","-0.8"
"a. Marine fishing","%","2.6","-1.5","-0.6","-2.0","-2.0"
"b. Inland fishing","%","13.2","-11.2","-9.9","10.7","7.1"
"5  Per capita fish production","Kg/year","25.8","24.8","25.0","24.8","24.2"
"a. Marine fishing","Kg/year","22.1","21.6","21.6","21.0","20.2"
"b. Inland fishing","Kg/year","3.6","3.2","3.5","3.8","4.0"
"6 Percapita comsumable Supply (2)","g/day","42.8","43.2","47.5","47.1","46.0"
"Percapita fish consumption (All Sectors) (3)","Kg/year","15.6","15.8","17.3","17.2","16.8"
"7 Per capita Fish Consumption (Household Sector) (4)","Kg/year","na","na","11.8","na","na"
"a. Large fish (Marine)","Kg/year","na","na","4.5","na","na"
"b. Small fish (Marine)","Kg/year","na","na","4.5","na","na"
"c. Inland fish","Kg/year","na","na","2.3","na","na"
"d. Other fish","Kg/year","na","na","0.5","na","na"
"8
Per capita  Consumption of Perpared Fish (Household Sector) (4)","","","","","",""
"a. Canned fish","Kg/year","na","na","1.4","na","na"
"b.  Dried fish","Kg/year","na","na","3.6","na","na"
"9
Fish Contribution to Animal Nutrition Intake (5)","","","","","",""
"a. Calorie Intake","%","31.6","29.6","28.9","26.3","na"
"b. Protein Intake","%","52.9","52.9","50","45","na"
"c. Fat Intake","%","27.5","21.1","25.5","15.1","na"
"10
Household Expenditure Contribution to Food Basket  (4)","","","","","",""
"a. Fish","%","na","na","8.4","na","na"
"-  Marine","%","na","na","7.4","na","na"
"-  Inland","%","na","na","1.0","na","na"
"c. Canned fish","%","na","na","1.1","na","na"
"b. Dried fish","%","na","na","4.0","na","na"
"-  Marine","%","na","na","4.0","na","na"
"-  Inland","%","na","na","0.1","na","na"
"11 Contribution to National Export Earnings","%","2.4","1.8","1.8","2.3","2.5"
"12 Contribution of Tuna to Total Fish Exports in Volume","%","58.4","56.4","50.4","53.5","48.0"
"13 Fishermen per Household (Marine fishing)","Number","1.2","1.2","1.2","1.2","1.2"
"14 Fishermen per Household (Inland fishing)","Number","1.1","1.1","1.1","1.1","1.1"
"","(1) National Accounts of Sri Lanka - Revised base year (2010) estimates (by production, income and expenditure approaches)","","","","",""
