"Table 1.7: Fishing Households and Active Fishers (Marine Fisheries) - 2018","","","","","","",""
"","","","","Active Fishers","","",""
"","","Number of FI","","","Fishing Household","","Average Fishers per"
"","Fisheries District","","Fishing Households","(Fishermen &","","",""
"","","Divisions","","","Population","Household",""
"","","","","women)","","",""
"1","Negombo","13","8,310","9,430","38,780","","1.2"
"2","Colombo","10","1,790","2,100","7,860","","1.2"
"3","Kalutara","9","4,730","4,960","18,930","","1.0"
"4","Galle","9","9,200","11,400","45,210","","1.3"
"5","Matara","9","11,620","14,430","49,670","","1.2"
"6","Tangalle","12","8,920","13,520","36,560","","1.6"
"7","Kalmunai","12","15,140","16,670","83,580","","0.9"
"8","Batticaloa","16","26,670","39,410","118,280","","1.5"
"9","Trincomalee","11","30,680","31,180","104,490","","1.0"
"10","Mullaitivu","4","4,890","6,120","21,050","","1.3"
"11","Kilinochchi","5","3,890","3,970","10,790","","0.9"
"12","Jaffna","14","22,460","23,570","102,310","","1.2"
"13","Mannar","6","14,760","15,390","62,090","","1.0"
"14","Puttalam","8","10,680","16,210","49,180","","1.8"
"15","Chilaw","11","8,140","9,770","39,410","","1.2"
"","Total","149","181,880","218,130","795,190","","1.2"
