"2007-2018 (Mn)","","","","","","","","","","","",""
"Variety","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Fish Fingerlings","","","","","","","","","","","",""
"Tilapia","1.8","3.3","7.8","7.9","15.3","10.6","17.8","18.5","24.4","30.1","21.2","24.3"
"Carp","0.6","3.0","7.4","6.7","8.1","8.5","7.2","5.9","5.9","8.1","1.9","3.5"
"Catla/Rohu","2.6","6.6","12.2","18.9","19.0","14.5","18.6","10.1","16.2","18.7","10.5","11.0"
"Hirikanaya","-","-","0.5","1.3","1.0","0.2","-","-","0.3","0.2","0.4","0.1"
"Milk Fish","-","-","-","-","1.5","3.6","-","-","-","-","-",""
"Mirigal","-","-","-","-","-","-","-","-","-","12.6","4.1","9.3"
"Other","0.4","0.4","-","-","-","-","5.7","6.5","8.5","-","-",""
"Total","5.3","13.3","27.9","34.9","44.8","37.4","49.3","40.9","55.3","69.7","38.1","48.2"
"Post Larvae","","","","","","","","","","","",""
"Freshwater Prawns","0.3","4.2","8.8","13.0","12.2","16.8","20.3","10.6","23.7","39.8","41.4","51.1"
"Shrimps*","","","","","","301.3","389.0","350.5","484.0","554.3","478.4","519.9"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","",""
