"","Table 7.4: Monthly Average Wholesale Fish Prices at Main Fish Market in Colombo** -2018","","","","","","","","","","","","",""
"","2017","","","","","","","2018","","","","","","2018"
"Species","Annual","","","","","","","","","","","","","Annual"
"","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",""
"","Average","","","","","","","","","","","","","Average"
"Salaya","145.00","132.75","126.75","129.25","130.25","147.50","205.25","216.50","236.84","181.89","132.38","119.90","135.06","157.86"
"Hurulla","319.00","290.00","325.25","291.75","295.25","300.00","421.00","419.50","313.96","259.96","178.79","216.07","262.73","297.85"
"Balaya","314.00","305.25","297.00","268.25","314.00","393.00","386.75","373.75","347.00","262.80","264.63","313.80","302.62","319.07"
"Kelawalla","564.00","572.50","519.50","508.25","545.25","619.50","652.00","652.50","699.00","600.95","505.92","467.57","514.17","571.43"
"Thora","1,166.00","1,206.75","1,172.50","1,076.00","1,071.50","1,151.25","1,288.25","1,485.50","1,567.58","1,257.20","1,049.50","1,256.91","1,440.69","1,251.97"
"Paraw","551.00","574.25","514.00","424.50","485.00","529.50","635.75","603.25","612.50","526.61","452.29","474.89","537.67","530.89"
"Mora","527.00","553.75","563.50","550.00","542.50","572.75","588.75","594.50","603.87","524.00","513.42","517.44","545.72","555.85"
"Thalapath","617.00","616.25","617.75","596.25","586.50","595.75","652.75","659.75","614.49","603.11","600.50","621.71","620.83","615.47"
"Kumbala","372.00","325.00","335.75","336.75","411.00","534.75","571.25","525.25","513.08","428.17","267.71","244.36","365.80","404.91"
"Mullet","517.00","568.75","532.50","475.00","482.50","585.00","750.00","650.00","537.50","443.33","375.00","437.50","450.00","523.92"
"Prawns","1,028.00","1,027.50","782.75","699.25","783.00","1,018.00","1,079.75","1,117.00","1,083.57","803.17","753.42","742.50","763.51","887.78"
"Tilapia (M)","305.00","347.50","339.50","323.00","317.50","341.75","","365.50","375.00","320.00","299.33","311.46","336.88","334.31"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","","","","",""
