"Household Size","4.5 Persons","","4.2 Persons","","4.1 Persons","","4.0 Persons","","3.9 Persons","","3.8 Persons",""
"","Quantity","","Quantity","","Quantity","","Quantity","","Quantity","","Quantity",""
"Species","","%","","%","","%","","%","","%","","%"
"","(g)","","(g)","","(g)","","(g)","","(g)","","(g)",""
"Sprats","599.8","48.6","546.1","40.1","578.6","43.7","556.4","44.3","502.6","43.1","487.0","43.4"
"Keerameen","106.2","8.6","140.7","10.3","74.0","5.6","69.5","5.5","93.6","8.0","76.4","6.8"
"Salaya","","","","","52.0","3.9","48.5","3.9","48.2","4.1","43.7","3.9"
"Hurulla","","","","","32.8","2.5","34.4","2.7","41.6","3.6","22.9","2.0"
"Thalapath","","","","","","","","","18.6","1.6","20.7","1.8"
"Seer","18.4","1.5","10.2","0.8","9.9","0.7","5.7","0.5","4.3","0.4","4.1","0.4"
"Katta","102.2","8.3","75.2","5.5","76.4","5.8","78.4","6.2","75.2","6.5","74.8","6.7"
"Koduwa","2.7","0.2","9.5","0.7","1.6","0.1","1.9","0.2","2.6","0.2","1.5","0.1"
"Anjila","","","4.9","0.4","0.7","0.1","0.8","0.1","1.4","0.1","2.5","0.2"
"Balaya","253.0","20.5","206.5","15.2","176.4","13.3","140.2","11.2","111.9","9.6","113.2","10.1"
"Mora/Keelan","69.3","5.6","117.4","8.6","96.8","7.3","93.9","7.5","80.1","6.9","84.2","7.5"
"Paraw","7.2","0.6","11.6","0.9","6.6","0.5","6.6","0.5","6.4","0.5","5.8","0.5"
"Anguluwa","46.0","3.7","80.8","5.9","61.5","4.6","69.5","5.5","54.3","4.7","41.2","3.7"
"Prawns","11.2","0.9","6.2","0.5","4.8","0.4","9.0","0.7","6.7","0.6","9.2","0.8"
"Cuttle fish","","","0.3","0.0","0.9","0.1","1.3","0.1","0.9","0.1","1.3","0.1"
"Freshwater dried fishes","19.5","1.6","14.0","1.0","20.9","1.6","18.0","1.4","17.5","1.5","14.7","1.3"
"Freshwater smoked fishes","","","","","","","","","","","5.6","0.5"
"Other dried fishes","","","138.3","10.2","130.6","9.9","120.8","9.6","99.5","8.5","113.6","10.1"
"Total","1,235.4","100.0","1,361.6","100.0","1,324.4","100.0","1,255.0","100.0","1165.4","100.0","1,122.1","100.0"
"Grams/Day/Person","9.2","","10.8","","10.8","","10.5","","10.0","","9.8",""
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","","",""
