"Table 1.8 : Active Fishers in Inland Fisheries and Aquaculture Sector - 2018","","","","","","","","",""
"","","Inland Fisheries","","","Aquaculture","","","Total",""
"District","","","","","","","","",""
"","Male","Female","Total","Male","Female","Total","Male","Female","Total"
"1 Colombo","144","2","146","399","11","410","543","13","556"
"2 Gampaha","141","-","141","1,570","193","1,763","1,711","193","1,904"
"3 Kalutara","405","28","433","981","53","1,034","1,386","81","1,467"
"4 Kandy","1,142","8","1,150","304","8","312","1,446","16","1,462"
"5 Matale","1,576","2","1,578","440","19","459","2,016","21","2,037"
"6 Nuwara Eliya","1,045","32","1,077","616","47","663","1,661","79","1,740"
"7 Galle","771","22","793","811","-","811","1,582","22","1,604"
"8 Matara","484","47","531","125","18","143","609","65","674"
"9 Hambantota","5,191","95","5,286","3,278","375","3,653","8,469","470","8,939"
"10 Jaffna","85","-","85","248","-","248","333","-","333"
"11 Mannar","1,215","37","1,252","425","2","427","1,640","39","1,679"
"12 Vavuniya","779","14","793","274","7","281","1,053","21","1,074"
"13 Mullaitivu","1,032","20","1,052","377","3","380","1,409","23","1,432"
"14 Kilinochchi","553","33","586","617","1","618","1,170","34","1,204"
"15 Batticaloa","1,233","116","1,349","1,033","22","1,055","2,266","138","2,404"
"16 Ampara","4,245","-","4,245","591","6","597","4,836","6","4,842"
"17 Trincomalee","2,503","58","2,561","1,672","51","1,723","4,175","109","4,284"
"18 Kurunegala","846","2","848","268","12","280","1,114","14","1,128"
"19 Puttalam","1,642","128","1,770","3,734","147","3,881","5,376","275","5,651"
"20 Anuradhapura","4,352","249","4,601","485","37","522","4,837","286","5,123"
"21 Polonnaruwa","4,433","145","4,578","1,094","148","1,242","5,527","293","5,820"
"22 Badulla","1,297","46","1,343","590","38","628","1,887","84","1,971"
"23 Monaragala","1,654","12","1,666","1,175","37","1,212","2,829","49","2,878"
"24 Ratnapura","497","3","500","359","24","383","856","27","883"
"25 Kegalle","121","-","121","352","31","383","473","31","504"
"Total","37,386","1,099","38,485","21,818","1,290","23,108","59,204","2,389","61,593"
