"Table 7.8  Wholesale Prices of Imported Dried Fish at Pettah (Rs/Kg)  - 2018","","","","","","","","",""
"Month","Sprats","Kattawa Thora","","Mora","Balaya","Angulawa Maduwa Koduwa","","","Salaya"
"January","490.16","765.80","1075.27","761.40","433.02","749.94","432.76","-","-"
"February","507.50","759.08","990.19","756.67","399.13","755.50","432.55","-","-"
"March","547.50","831.75","1083.57","797.00","302.86","762.75","432.75","-","-"
"April","542.25","839.50","1095.83","807.96","321.83","733.39","446.79","-","-"
"May","530.20","818.56","1075.24","815.60","354.89","667.15","376.14","-","-"
"June","534.25","798.41","1137.50","787.61","423.37","663.70","408.98","-","-"
"July","568.60","809.80","1291.67","778.80","450.00","675.05","432.92","-","-"
"August","544.36","774.11","1250.00","769.31","447.61","691.79","386.11","-","-"
"September","471.58","759.56","","762.69","380.83","709.55","387.56","-","-"
"October","520.40","773.09","1256.25","755.40","333.33","746.39","369.59","-","-"
"November","509.25","783.50","1250.00","756.44","375.00","766.22","391.25","-","-"
"December","538.98","750.93","1195.83","764.33","566.67","768.58","382.04","-","-"
"Average","525.42","788.67","1154.67","776.10","399.04","724.17","406.62","",""
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","",""
"Table 7.9  Retail Prices of Dried Fish at Colombo and Suburbs Markets (Rs/Kg) -2018","","","","","","","","",""
"Month","Sprats","Kattawa Thora","","Mora","Balaya","Angulawa Maduwa Koduwa","","","Salaya"
"January","1162.94","1148.34","1521.70","1092.38","845.98","1057.62","738.33","-","635.37"
"February","1130.14","1140.23","1504.06","1114.62","809.78","1070.78","786.46","-","649.55"
"March","1139.41","1191.60","1501.44","1123.87","806.19","1093.05","817.50","-","662.20"
"April","1148.50","1195.07","1528.34","1137.19","822.27","1072.71","828.75","-","634.73"
"May","1183.28","1210.14","1551.20","1141.15","829.26","1046.23","826.67","-","634.68"
"June","1218.85","1241.86","1597.59","1146.42","873.18","1063.53","850.00","-","657.07"
"July","1260.07","1223.76","1653.08","1141.21","889.85","1083.11","912.00","-","675.26"
"August","1249.46","1195.91","1623.28","1149.09","908.30","1099.52","870.83","-","697.11"
"September","1224.35","1205.99","1612.96","1162.43","874.49","1075.38","861.61","-","636.27"
"October","1195.65","1242.34","1637.95","1132.57","819.96","1082.28","817.97","-","604.05"
"November","1199.78","1243.55","1612.02","1135.58","861.10","1088.81","729.28","-","565.32"
"December","1217.91","1239.06","1636.71","1137.69","884.19","1091.63","794.16","-","606.35"
"Average","1194.19","1206.49","1581.69","1134.52","852.05","1077.55","819.46","-","638.16"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","",""
"","","","53","","","","","",""
