"Source: Statistics Unit - Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","",""
"","Estimated Based on the annual reports submitted by Fisheries Inspectors of DFAR for their FI Divisions","","","","","","","","",""
"","Table 1.6: Fishing Households by District (Marine Fisheries)","","","","","","","","",""
"Fisheries District","1999","2008","2011","2012","2013","2014","2015","2016","2017","2018"
"1 Negombo","11,210","11,360","9,250","9,180","9,290","9,380","9,340","9,050","8,770","8,310"
"2 Colombo","2,412","1,520","1,650","1,630","1,900","1,910","1,910","1,880","1,780","1,790"
"3 Kalutara","3,602","4,230","5,610","5,910","5,990","6,050","6,060","4,790","4,650","4,730"
"4 Galle","5,253","5,510","6,220","6,720","7,210","7,240","7,250","9,430","9,070","9,200"
"5 Matara","4,796","7,280","10,980","11,310","11,690","11,760","11,770","12,250","11,330","11,620"
"6 Tangalle","5,385","5,720","10,130","10,460","10,690","10,710","10,720","9,390","8,880","8,920"
"7 Kalmunai","13,265","16,450","22,740","22,940","22,890","22,920","22,940","18,740","18,300","15,140"
"8 Batticaloa","13,762","19,870","26,320","25,780","26,630","25,260","25,280","26,980","26,390","26,670"
"9 Trincomalee","8,123","17,420","32,470","32,660","32,420","32,570","32,600","31,270","31,280","30,680"
"10 Mullativu","864","1,500","1,600","2,130","2,390","2,520","2,520","4,730","4,230","4,890"
"11 Kilinochchi","400","2,100","2,700","2,970","3,120","3,660","3,660","4,120","4,240","3,890"
"12 Jaffna","6,922","17,100","19,240","19,480","19,020","20,190","20,210","21,800","21,290","22,460"
"13 Mannar","4,175","10,230","15,030","15,440","15,210","14,980","14,990","15,030","14,640","14,760"
"14 Puttalam","10,124","12,680","13,820","12,890","12,240","12,370","12,380","10,790","10,760","10,680"
"15 Chilaw","8,264","8,970","9,580","8,980","9,520","9,260","9,330","8,440","8,040","8,140"
"Total","98,557","141,940","187,340","188,480","190,210","190,780","190,960","188,690","183,650","181,880"
