"","Table 7.3: Monthly Average Wholesale Fish Prices at Main Fish Market in Colombo** -2017","","","","","","","","","","","","",""
"","2016","","","","","","","2017","","","","","","2017"
"Species","Annual","","","","","","","","","","","","","Annual"
"","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",""
"","Average","","","","","","","","","","","","","Average"
"Salaya","145.00","150.06","164.50","128.95","152.38","153.15","153.70","140.00","136.55","131.25","136.08","134.00","160.00","145.00"
"Hurulla","312.00","347.48","380.46","364.75","355.42","348.35","399.96","293.13","292.52","255.48","216.63","238.00","341.00","319.00"
"Balaya","337.00","360.38","272.78","303.40","348.33","445.13","382.83","309.54","315.02","241.37","228.42","241.00","315.00","314.00"
"Kelawalla","508.00","500.27","533.00","483.23","580.25","620.13","677.38","515.17","607.47","650.83","565.08","440.00","599.00","564.00"
"Thora","1127.00","1,202.14","1,116.67","1,035.71","932.29","916.67","1,329.52","1,433.21","1,319.23","1,166.37","1,092.08","1,076.00","1,374.00","1,166.00"
"Paraw","565.00","516.67","555.86","547.14","598.54","591.50","581.46","534.67","581.69","561.80","525.00","472.00","549.00","551.00"
"Mora","489.00","491.67","510.00","493.54","502.50","574.38","596.46","567.75","541.78","532.80","498.58","488.00","528.00","527.00"
"Thalapath","559.00","686.04","592.50","602.01","589.58","659.25","657.69","619.29","601.07","597.56","600.00","600.00","600.00","617.00"
"Kumbala","409.00","340.83","396.63","389.81","483.13","544.63","488.21","320.20","314.23","326.90","307.54","234.00","317.00","372.00"
"Mullet","471.00","459.08","452.08","426.25","528.75","592.08","555.50","576.50","526.67","546.25","542.50","477.33","483.00","517.00"
"Prawns","785.00","701.01","778.42","894.09","923.13","950.38","1,126.34","1,068.33","1,109.08","1,163.99","1,189.79","1,251.00","1,183.00","1,028.00"
"Tilapia (M)","286.00","299.50","289.00","266.94","300.83","302.00","301.67","297.88","315.58","313.88","327.17","305.00","342.00","305.00"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","","","","",""
