"Source: Statistics Unit, Ministry of Fisheries","","","","","",""
"","Table 7.8  Wholesale Prices of Imported Dried Fish at Pettah (Rs/Kg)  - 2020","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa"
"January","505.33","924.00","1,278.25","781.94","562.00","886.67"
"February","500.63","955.00","1,250.00","771.25","","872.92"
"March","498.67","905.00","1,250.00","799.72","","880.00"
"April","560.00","1,004.00","1,200.00","833.33","","950.00"
"May","520.00","1,001.29","","826.67","548.00","905.00"
"June","443.96","996.67","","856.25","","922.50"
"July","445.83","945.83","1,200.00","872.50","486.26","915.42"
"August","439.17","891.46","","816.67","475.29","915.00"
"September","433.67","830.95","1,300.00","854.88","525.00","845.00"
"October","441.00","844.86","1,238.89","852.80","","906.33"
"November","515.00","916.67","1,290.00","897.50","500.00","915.00"
"December","548.00","1,012.00","1,198.32","910.00","478.67","990.67"
"Average","487.61","935.64","1,245.05","839.46","510.75","908.71"
"Source: Statistics Unit, Ministry of Fisheries","","","","52","",""
