"Table 1.7: Fishing Households and Active Fishers - Marine Fisheries - 2020","","","","","","",""
"","","","","Active Fishers","","",""
"","","Number of FI","","","Fishing Household","","Average Fishers per"
"","Fisheries District","","Fishing Households","(Fishermen &","","",""
"","","Divisions","","","Population","Household",""
"","","","","women)","","",""
"1","Negombo","13","9,060","10,330","42,280","","4.7"
"2","Colombo","8","2,050","2,370","9,330","","4.6"
"3","Kalutara","9","4,060","4,300","16,230","","4.0"
"4","Galle","9","8,920","11,050","41,120","","4.6"
"5","Matara","9","12,040","14,940","51,470","","4.3"
"6","Tangalle","12","9,070","13,570","37,170","","4.1"
"7","Kalmunai","12","14,560","16,090","77,480","","5.3"
"8","Batticaloa","15","27,480","40,470","121,420","","4.4"
"9","Trincomalee","11","27,640","27,800","98,560","","3.6"
"10","Mullaitivu","4","6,630","9,150","28,560","","4.3"
"11","Kilinochchi","4","4,140","4,260","13,260","","3.2"
"12","Jaffna","14","23,260","24,700","105,440","","4.5"
"13","Mannar","6","17,050","18,950","71,580","","4.2"
"14","Puttalam","8","11,250","17,010","51,800","","4.6"
"15","Chilaw","11","8,360","10,030","39,280","","4.7"
"","Total","145","185,570","225,020","804,980","","4.3"
