"","Table 2.4.1 :  Production of Fishing Boats  - Cey-Nor 2012 - 2019","","","","","","",""
"Boat Type","2012","2013","2014","2015","2016","2017","2018","2019"
"Production of Boats","","","","","","","",""
"Multiday boats","1","1","1","-","-","3","2","1"
"Single day boats","-","-","-","-","7","22","20","1"
"OFRP boats","54","81","26","2","-","","",""
"Oru / Outtriggers / Oars","513","694","623","711","2,384","1,443","812","750"
"Wallam/ Theppam","-","-","1","-","-","32","1",""
"Leisure Boats / Ferries","1","8","-","1","-","1","","1"
"Paddle Boats","7","5","-","-","12","12","1","6"
"Passenger boats","1","3","1","1","2","-","4","1"
"Ferries/ Theppam/ Piers","-","53","50","12","106","59","1","3"
"Total Boats","577","845","702","727","2,511","1,572","841","763"
"Other Products","","","","","","","",""
"Floating  Restaurent / House","-","1","1","-","-","-","",""
