"Table 4.5: Marine Sector Fish Catch by Major Commercial Groups (Mt)","","","","","","","","","","",""
"","Commercial Groups","","2000","2005","2010","2015","2016","2017","2018","2019","2020"
"1","Thora","Seer","3,130","2,970","10,200","8,940","7,440","7,790","7,670","7,740","7,360"
"2","Paraw","Travelly","10,450","5,950","16,740","34,050","32,620","23,690","22,290","21,070","13,610"
"3","Balaya","Skipjack tuna","49,110","28,040","66,910","54,040","47,730","57,960","55,000","47,230","46,520"
"4","Kelawalla","Yellowfin tuna","29,320","17,030","45,450","46,430","39,600","38,960","41,690","44,760","37,930"
"","Tuna like fishes","Other blood fish","27,890","16,560","48,930","46,930","38,750","44,520","51,900","44,710","39,680"
"5","","","","","","","","","","",""
"6","Thalapath","All Bill fishes","***","***","***","26,040","32,530","33,180","32,680","32,200","14,950"
"7","Mora / Maduwa","Shrks/Sketes","28,790","6,430","13,290","5,860","8,980","13,620","13,500","14,240","10,290"
"8","Gal Ma'lu","Rock fish","14,910","10,570","20,150","34,960","33,920","31,100","29,060","27,950","18,060"
"9","Shore seine varieties Small fishes","","76,250","24,870","77,210","136,790","153,180","143,250","132,160","119,500","96,470"
"10","Issa","Shrimps","7,540","4,680","17,640","20,090","19,720","17,620","16,970","16,930","12,770"
"11","Pokirissa","Lobsters","1,150","240","890","630","960","540","570","470","155"
"12","Kakuluwa","Crabs","**","**","6,260","9,670","11,920","11,510","12,830","13,600","8,100"
"13","Others","Other marine varieties","15,140","13,060","8,590","28,460","29,640","25,700","23,050","25,090","21,035"
"","","Total","263,680","130,400","332,260","452,890","456,990","449,440","439,370","415,490","326,930"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","","",""
