"Source of Production","2010","2013","2014","2015","2016","2017","2018","2019","2020"
"Freshwater prawns (Macrobrachium","","","","","","","","",""
"rosenbergii)","","","","","","","","",""
"Aquaculture Centres","","","","","","","","",""
"Pambala","1.77","2.36","1.53","1.78","2.40","2.73","6.46","9.51","13.50"
"Kahandamodara","11.27","17.94","9.08","19.94","24.84","38.63","44.65","37.09","30.20"
"Kallar","","","","","","","","3.36","16.00"
"Sub-total","13.04","20.30","10.61","21.72","27.24","41.36","51.11","49.96","59.70"
"Other","","","","","","","","",""
"Private hatcheries","","","","2.00","12.60","19.04","22.65","15.95","18.00"
"Total","13.04","20.30","10.61","23.72","39.84","60.40","73.76","65.91","77.70"
"Shrimps (Penaeus monodon)","","","","","","","","",""
"Puttalam (Private)","296.00","354.00","330.00","463.00","532.91","461.31","484.70","428.00","398.00"
"Pudukudirippu, Batticaloa","","","","","","","","",""
"","-","35.00","20.45","20.98","21.37","17.13","35.20","***","***"
"(Public Private Partnership)","","","","","","","","",""
"Total","296.00","389.00","350.45","483.98","554.28","478.44","519.90","428.00","398.00"
"Shrimps (Litopenaeus vannamei)","","","","","","","","",""
"Puttalam","","","","","","","","40.70","277.67"
"Batticaloa","","","","","","","","1.40","11.37"
"Total","","","","","","","","42.10","289.04"
"***Note: PL of shrimp (penaeus monodon) Hatchery is transferred to shrimps (Litopenaeus vannamei) hatchery","","","","","","","","",""
