"","Table 7.3: Monthly Average Wholesale Fish Prices at Main Fish Market in Colombo** -2019","","","","","","","","","","","","",""
"","2018","","","","","","2019","","","","","","","2019"
"Species","Annual","","","","","","","","","","","","","Annual"
"","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",""
"","Average","","","","","","","","","","","","","Average"
"Salaya","158.00","131.98","140.25","135.48","169.85","186.79","265.13","223.25","233.51","231.64","164.50","208.13","224.17","192.89"
"Hurulla","298.00","269.14","332.22","291.37","362.54","449.38","447.50","401.43","378.23","386.11","342.24","383.75","447.17","374.26"
"Balaya","319.00","302.78","310.78","286.34","331.06","375.42","444.17","381.09","382.46","370.21","335.21","362.71","421.54","358.65"
"Kelawalla","571.00","601.67","557.03","487.26","594.08","671.62","697.88","664.62","643.96","751.79","505.64","600.63","582.38","613.21"
"Thora","1,252.00","1,695.21","1,293.99","1,106.55","1,298.81","1,495.55","1,484.71","1,402.32","#######","1,401.25","1,102.98","1,351.46","1,500.42","1,385.07"
"Paraw","531.00","610.54","537.22","474.17","544.58","651.17","670.88","640.25","633.54","578.17","445.00","495.00","606.88","573.95"
"Mora","556.00","555.39","576.70","595.00","588.89","625.00","631.25","644.59","602.71","615.75","575.73","607.36","611.11","602.46"
"Thalapath","615.00","633.59","646.54","639.79","704.27","722.71","732.19","723.18","725.20","701.00","722.74","706.11","695.13","696.04"
"Kumbala","405.00","440.93","438.13","415.15","501.35","555.45","590.21","472.50","489.32","500.80","357.41","387.49","539.38","474.01"
"Mullet","524.00","508.33","528.54","430.83","487.50","550.00","400.00","475.00","375.00","412.50","454.17","437.92","550.00","467.48"
"Prawns","888.00","822.51","801.55","783.27","838.30","865.54","920.83","921.49","922.53","1,096.79","1,063.57","1,086.46","951.61","922.87"
"Tilapia (M)","334.00","360.38","362.81","361.49","394.54","382.09","372.29","334.62","328.17","356.54","323.75","324.17","360.88","355.14"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","","","","","",""
