Table 2:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Aug, 2024  Jan-Aug, 2025  Jan-Aug,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish ,10406.204,8445.27896,10520.5922,10214.44698,9506.31819,10253.71181,11643.30776,7513.87035,6198.18875,6777.05515,7828.64611,4548.05905,5054.2255,5345.58065,17.5354275578282,5.76458549386052,14.1844579553856
Dried Sprats,24873.618,24607.4227,24456.9713,22797.82765,23197.8258,24805.64512,31102.3052,25071.3505,23723.869,22759.015,27362.816,16537.213,17794.549,15734.715,-4.85267983184348,-11.5756460026045,41.7519476312597
Maldive fish,1255.635,2216.39342,2731.68475,2674.26389,2317.74345,2520.9943,2545.2419,2187.59601,1537.67454,1714.6443,1943.2035,1168.419,950.092,1385.3965,18.5701790196839,45.8170892924054,3.67613916849022
Canned Fish,19591.357,49016.10115,37088.75634,40613.82522,28068.09608,36805.67494,26043.65227,8758.08089,3430.9636,7904.427665,4476.04736,3231.214695,4157.92147,53.10208,-98.3565907866732,-98.7228695783906,0.140905968952788
Food Fish,21094.9,33866.89974,39074.30319,27782.12863,18693.90323,18536.1379309999,12801.18403,10166.02306,3821.97519,5983.13002,11696.51502,3855.89746,7857.98484,10891.38403,182.460416621141,38.602762053687,28.9002054153824
Live fish(2),91.073,106.362,128.43604,180.61732,182.56465,185.62437,98.56476,142.64001,131.58426,135.8647,216.62275,91.93548,136.18775,141.78329,54.2204271952461,4.10869553245428,0.376220891135792
Other,1399.007,1787.1264,1692.15534,1756.95492,2496.6433,2529.1466,1574.854269,2336.69288,2892.44351,3534.03732,4827.472237,1947.94737,3516.24187,4134.220515,112.234713251005,17.5749754381942,10.9701229693935
Total,78711.794,120045.58437,115692.89916,106020.06461,84463.0947,95636.9350709999,85809.110189,56176.2537,41736.69885,48808.174155,58351.322977,31380.686055,39467.20243,37686.182065,20.0935569061446,-4.5126592596951,100
,,,,,,,,,,,,,,,,,
Table 3:  Value of Imported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Aug, 2024  Jan-Aug, 2025  Jan-Aug,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish,2440.779553,2357.25551806,3416.10456034,3807.79578,4217.654639,5257.28739,6353.206005,4871.054165,3469.980321,3510.759884,5330.572885,2282.581232,3353.781724,3659.154572,60.3077481187316,9.10532864481672,16.1073365829762
Dried Sprats,5863.618723,7152.593689,9036.9923555,9368.691663,9374.64975619,9520.754661,10926.718608,9118.893338,9955.459171,9010.941962,14609.979726,5810.392734,9129.732779,7621.239455,31.1656509964236,-16.522863927297,33.5481507177892
Maldive fish,646.60409,1658.35257022,1993.8481,1624.212214,1528.04219734,1668.372523,1923.729326,1453.319352,925.709063,925.607782,1422.154246,592.997514,678.497353,935.339447,57.7307534884539,37.8545462063136,4.11729731437097
Canned Fish,5092.198892,11918.761416,9638.225181,9605.574855,8615.929668,13650.557222,10764.337708,4890.95896,2671.928159,6172.603518,3317.847295,2495.347721,2744.810664,75.207296,-96.9860995577057,-97.2600188061642,0.331057135283959
Food fish,4356.755496,6763.7629022,10110.62955334,8604.74907857,7322.68758512,7410.591563,4658.603794,3401.368626,2107.85096,2744.159769,5185.861942,1791.721879,3426.560677,5132.752443,186.470378196459,49.7931286450702,22.5940089629246
Live fish,117.523067,196.81875526,214.78843461,333.62701179,257.407716,287.572027,174.919406,253.002473,430.028657,368.552648,485.767281,249.103543,322.149457,332.949887,33.6592338231014,3.35261468405952,1.46562157723817
Other,342.46071,681.096141,761.68164151,624.806307,1410.01302465999,1157.269198,702.803783,1091.420781,2103.214929,4001.115715,6319.552109,1569.497504,5025.293694,4960.673032,216.067596116419,-1.28590816646507,21.8365277094168
Total,18859.940531,30728.64099174,35172.2698263,33969.45690936,32726.38458631,38952.404584,35504.31863,25080.017695,21664.17126,26733.741278,36671.735484,14791.642127,24680.826348,22717.316132,53.5821103360311,-7.95560970412611,100
,,,,,,,,,,,,,,,,,
Table 4:  Exported Quantity of Fish and Fishery Products (Mt),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Aug, 2024  Jan-Aug, 2025  Jan-Aug,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Live fish(2),na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na 
Prawns ,2001.279,1340.87685,1666.900124,1844.49075,1983.82503,2115.21694,1780.5468,4746.95174,5486.42846,4019.576705,3431.88697,2549.700325,2353.29474,1927.72273,-24.3941450256512,-18.0840930278032,11.6869985345815
Lobsters ,300.581,204.39748,174.99682,224.39644,231.49798,229.16116,99.34371,196.23826,113.91759,126.77627,82.19368,73.27399,51.16593,73.50152,0.310519462636042,43.6532473855161,0.445609808486055
Crabs,1872.449,1709.61148,2117.15499,1819.23406,1400.522308,1817.88852,1360.50044,1662.3696,1849.46081,1677.65806,2186.72474,1091.49726,1218.81994,1145.7107,4.96688741115117,-5.99836264575716,6.94597779212489
Beche de mer,164.555,169.2616,136.1737,150.35972,247.53267,502.723,326.32905,335.68565,417.56933,400.77457,252.08763,267.86612,192.91792,201.98978,-24.5930093734885,4.70244547525705,1.22458184785757
Other Moluscus,2430.612,1371.34911,1567.58363,3152.430546,3672.4951784,2590.03208,1476.54063,2167.66958,2087.85874,3115.22934,2211.17303,1939.6818,1605.69307,1755.84103,-9.47788291873439,9.35097515243063,10.6449497249888
Shark fins,31.895,38.5244,35.712,52.436,86.4029,90.87835,55.45413,95.3298,79.20546,99.74301,99.7555,65.57726,65.02474,44.81602,-31.6592062553391,-31.0785095026908,0.271701293922999
Fish maws,2.346,2.22535,1.389,6.96559,4.73322,3.5339,2.1271,3.9785,7.05021,6.87684,9.76889,4.58858,6.48695,5.72936,24.8612860623548,-11.6786779611374,0.034734778441965
Chank & shells,343.212,288.8383,297.198,354.9789,328.7558,275.11556,220.5886,305.98669,271.11582,269.29412,464.54247,179.19677,324.84637,167.21765,-6.68489727800339,-48.5240823223606,1.01377257221331
Food Fish ,18657.872,11806.72161,11101.059205,16250.33323,18031.259453,19885.11003,13857.5074,16130.22718,14959.03845,14380.213825,13450.88997,9253.216435,9481.75344,10859.38108,17.3579063699919,14.5292497713377,65.8360088789441
Other (4),515.275,529.3298,494.868415,971.15867,2011.00559,1261.113325,2119.402395,1104.82073,458.27292,407.01093,367.24153,278.11631,235.3211,312.68217,12.4285627117662,32.8746848455153,1.89566476843886
Total,26320.076,17461.13598,17593.035884,24826.783906,27998.0301294,28770.772865,21298.340255,26749.25773,25729.91779,24503.15367,22556.26441,15702.71485,15535.3242,16494.59204,5.0429317322794,6.17475263245554,100
,,,,,,,,,,,,,,,,,
Table 5:  Value of Exported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Aug, 2024  Jan-Aug, 2025  Jan-Aug,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Live fish,1636.379826,2392.217227,1846.743819,2288.273314,2626.075505,2913.281239,2409.219008,4192.676529,7142.956877,8640.978388,7392.095498,5555.808729,5057.118806,4662.022775,-16.0874140489151,-7.81267053744593,7.72900818854013
Prawns ,3375.413208,1970.815966,2464.214591,3213.237193,3485.106051,3521.606584,3235.054829,8462.407206,13174.494356,10392.789684,8920.86623142318,6369.506443,5889.11906060768,5267.222532,-17.3056408822915,-10.5600943402138,8.73234817706164
Lobsters ,1148.130085,776.712584,656.754015,781.56231,971.330009,1002.712907,352.071745,879.042997,1060.540651,1437.278656,789.850799,847.925828,509.574168,658.013107,-22.397327069037,29.1299968329635,1.09089743607478
Crabs,2617.029388,2049.607443,2623.1323,3336.066033,4315.999644,5028.569627,3068.361521,6112.657207,7796.66749,7877.548354,9056.37828852,4913.71698,5328.9633417,5846.262856,18.9784206089949,9.70731981306849,9.6923193358664
Beche de mer,521.273605,481.479861,383.454518,494.456584,1399.865481,2272.306,1580.697116,1967.336308,3805.951377,4896.879106,3201.96457822,3033.26139,2510.287954,1964.445225,-35.2365334726395,-21.7442277142043,3.25678658443782
Other Moluscus,1139.365468,738.997737,1038.245755,2648.012702,3396.796273,2287.156221,1409.392772,2228.218958,3881.887192,6084.272588846,4367.153851,3824.432489,3247.866715,3304.0370996226,-13.6071270933448,1.72945473295385,5.47765015974712
Shark fins,150.720837,171.21752,133.008418,213.576217,339,500.492157,341.186741,680.233846,922.413943,1314.238947,1174.759511,876.173524,831.732632,375.440223,-57.1500150693894,-54.8604673478773,0.622429511377566
Fish maws,20.076605,6.128117,15.710576,35.878715,67.735724,77.041614,34.085018,75.970249,155.501501,238.44204,290.173692,184.059033,225.505222,138.060758,-24.9910445851359,-38.7771348372589,0.228886211114243
Chank & shells,124.055736,109.285118,113.21851,147.184189,123.212658,149.177723,140.815021,201.378803,228.230841,255.031027,234.151575,153.470513,180.034596,132.648564,-13.5673938875802,-26.3205145304406,0.219913519696199
Food Fish ,23582.965735,15528.34674169,16877.448833,24689.73933931,29758.73272032,34278.033372,25498.396149,37198.397623,57528.060567,56703.468733,49731.420175783,36693.843498,35580.734507643,37220.8668767914,1.43627194251288,4.60960795735131,61.7072028086097
Other ,481.757686,491.26304875,649.7162256,1381.68623051,1465,1452.539135,1804.694808,1224.165631,1546.13521,1277.120541,1082.092807103,884.725263,729.209338103,749.492544,-15.2852783406955,2.78153403105968,1.24255806747443
Total,34797.168179,24716.07136344,26801.6475606,39229.67282682,47948.85406532,53482.916579,39873.974728,63222.485357,97242.840005,99118.048064846,86240.9070070492,63336.92369,60090.1463410537,60318.5125604139,-4.76564214637191,0.380039379608296,100
"Source :  Statistics Division/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,,,,,,,,,,,
Note     : (1) Fisheries sector tables are prepared by SU/MOF based on the monthly custom returns,,,,,,,,,,,,,,,,,
                 (2) Live fish weight included water (container),,,,,,,,,,,,,,,,,
                 (3) EU fish export ban (2015.01.15 - 2016.06.15),,,,,,,,,,,,,,,,,
