Table 11: Income Received - Special Commodity Levey (Rs. Mn),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Item,2017.0,2018.0,2019.0,2020.0,2019           (Jan-Oct),2020                (Jan-Oct),2021              (Jan-Oct),Change % (2021/2019),Change % (2021/2020)
Dried Fish ,942.725618060056,490.624664,533.116851663878,721.735143992971,444.886267569153,528.538966951383,656.001762268595,47.4538123761319,24.1160639588068
Dried Sprats,226.567423074605,23.197675,24.801941997395,31.103863,20.136249997413,25.397241,1842.237701,9048.86188459462,7153.69224554746
Maldive fish,272.844525598303,236.269415626442,256.81810977475,329.796978859039,217.54328059416,227.163032518076,551.055456451647,153.308424395637,142.581484470982
Canned Fish,2024.95800745826,996.244350186604,843.456551226356,1112.96831975726,608.764108461041,1102.58948657155,23.6291275306168,-96.1185084333649,-97.8569424234136
Food Fish,1364.60462702786,792.979975758636,1060.73707677044,868.218221406666,980.423450104355,722.211331729013,725.373140913283,-26.0143011842408,0.437795565558471
Live fish,0.0,0.0,0.0,0.0,0,0,0,,
Other,0.0,0.0,0.0,0.0,0,0,0,,
Total,4831.70020121909,2539.31608057168,2718.93053143282,3063.82252701594,2271.75335672612,2605.90005877003,3798.29718816414,67.1967239277225,45.7575924825346
,,,,,,,,,
Table 12: Income Received - Other Taxes (Rs.Mn),,,,,,,,,
Item,2017.0,2018.0,2019.0,2020.0,2019           (Jan-Oct),2020                (Jan-Oct),2021              (Jan-Oct),Change % (2021/2019),Change % (2021/2020)
Dried Fish ,19.0389727394452,24.983142,26.2835183988626,0.140406584981575,22.1374294600932,0.138655214391627,0.0012902781606776,-99.9941715086523,-99.0694340877558
Dried Sprats,46.8434474904602,46.873229,47.5774659950028,0.452137,38.8912849950034,0.452137,0,-100,-100
Maldive fish,8.10872167329033,7.62810097035961,8.33060858219587,0.0655073268692797,7.10236035148745,0.0655006797461272,0,-100,-100
Canned Fish,47.8251597921749,28.8457086600051,30.2824019046517,0.764464704261559,21.7478951757256,0.757448860933128,2.15178430802741,-90.1057813151998,184.083113594831
Food Fish,64.705654215831,70.0180171038787,74.070601031557,13.1795811183828,55.6132652524669,10.8972982329393,16.5024921148997,-70.326338437451,51.4365465837909
Live fish,29.1201307818545,13.0704258390275,19.1997232344729,9.42433375768897,15.0910949089721,8.7714577400625,9.08812858092617,-39.7782027364826,3.61024188051798
Other,326.762021141275,596.261919079839,426.612684617169,267.33643397862,360.765318542282,228.977525828374,421.108383904981,16.7264041916564,83.9081728136999
Total,542.404107834331,787.68054265311,632.357003763912,291.362864470805,521.348648686031,250.060023556447,448.852079186995,-13.9055830837485,79.4977353050092
,,,,,,,,,
Table 13: Total Income Received - All Levies and Taxes (Rs.Mn),,,,,,,,,
Item,2017.0,2018.0,2019.0,2020.0,2019           (Jan-Oct),2020                (Jan-Oct),2021              (Jan-Oct),Change % (2021/2019),Change % (2021/2020)
Dried Fish ,961.764590799501,515.607806,559.40037006274,721.875550577952,467.023697029246,528.677622165774,656.003052546756,40.4646181167281,24.0837563465201
Dried Sprats,273.410870565065,70.070904,72.3794079923977,31.556,59.0275349924163,25.849378,1842.237701,3020.98023615027,7026.81636285407
Maldive fish,280.953247271594,243.897516596801,265.148718356946,329.862486185909,224.645640945648,227.228533197822,551.055456451647,145.299866105558,142.511558164179
Canned Fish,2072.78316725044,1025.09005884661,873.738953131007,1113.73278446152,630.512003636766,1103.34693543249,25.7809118386442,-95.9111148257383,-97.6633902709361
Food Fish,1429.31028124369,862.997992862515,1134.807677802,881.397802525049,1036.03671535682,733.108629961952,741.875633028183,-28.3929206338336,1.19586684809393
Live fish,29.1201307818545,13.0704258390275,19.1997232344729,9.42433375768897,15.0910949089721,8.7714577400625,9.08812858092617,-39.7782027364826,3.61024188051798
Other,326.762021141275,596.261919079839,426.612684617169,267.33643397862,360.765318542282,228.977525828374,421.108383904981,16.7264041916563,83.9081728136999
Total,5374.10430905342,3326.99662322479,3351.28753519673,3355.18539148674,2793.10200541215,2855.96008232647,4247.14926735114,52.0585091099966,48.7117867519842
